Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:20:38.607905,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139860279,3031766158
2024-11-04 19:20:38.608366,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031776515,139860279
2024-11-04 19:20:38.608648,74,10.5.1.30,51354,52.222.130.89,80,TCP,0,0,1421522881,0
2024-11-04 19:20:38.630689,74,52.222.130.89,80,10.5.1.30,51354,TCP,0,1,832966380,1421522881
2024-11-04 19:20:38.630913,66,10.5.1.30,51354,52.222.130.89,80,TCP,1,1,1421522904,832966380
2024-11-04 19:20:38.631024,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031776538,139860279
2024-11-04 19:20:38.635806,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139860307,3031776538
2024-11-04 19:20:38.636159,145,10.5.1.30,51354,52.222.130.89,80,TCP,1,1,1421522909,832966380
2024-11-04 19:20:38.665512,66,52.222.130.89,80,10.5.1.30,51354,TCP,1,80,832966411,1421522909
2024-11-04 19:20:38.679029,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031776586,139860307
2024-11-04 19:20:38.695584,456,52.222.130.89,80,10.5.1.30,51354,TCP,1,80,832966443,1421522909
2024-11-04 19:20:38.695817,66,10.5.1.30,51354,52.222.130.89,80,TCP,80,391,1421522969,832966443
2024-11-04 19:20:38.696090,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031776603,139860307
2024-11-04 19:20:38.698525,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,139860369,3031776603
2024-11-04 19:20:38.699218,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3031776606,139860369
2024-11-04 19:20:38.699775,66,10.5.1.30,51354,52.222.130.89,80,TCP,80,391,1421522972,832966443
2024-11-04 19:20:38.720483,66,52.222.130.89,80,10.5.1.30,51354,TCP,391,81,832966472,1421522972
2024-11-04 19:20:38.721124,66,10.5.1.30,51354,52.222.130.89,80,TCP,81,392,1421522994,832966472
2024-11-04 19:20:39.308406,74,10.5.1.30,33246,10.5.1.10,80,TCP,0,0,4094258476,0
2024-11-04 19:20:39.309272,74,10.5.1.10,80,10.5.1.30,33246,TCP,0,1,3451533873,4094258476
2024-11-04 19:20:39.309734,66,10.5.1.30,33246,10.5.1.10,80,TCP,1,1,4094258477,3451533873
2024-11-04 19:20:39.310271,371,10.5.1.30,33246,10.5.1.10,80,TCP,1,1,4094258478,3451533873
2024-11-04 19:20:39.310886,66,10.5.1.10,80,10.5.1.30,33246,TCP,1,306,3451533875,4094258478
2024-11-04 19:20:39.311140,1682,10.5.1.10,80,10.5.1.30,33246,TCP,1,306,3451533875,4094258478
2024-11-04 19:20:39.311925,66,10.5.1.30,33246,10.5.1.10,80,TCP,306,1617,4094258480,3451533875
2024-11-04 19:20:39.312612,66,10.5.1.10,80,10.5.1.30,33246,TCP,1617,306,3451533876,4094258480
2024-11-04 19:20:39.315577,66,10.5.1.30,33246,10.5.1.10,80,TCP,306,1618,4094258483,3451533876
2024-11-04 19:20:39.316870,66,10.5.1.10,80,10.5.1.30,33246,TCP,1618,307,3451533881,4094258483
2024-11-04 19:20:44.066660,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2225773057,3156806594
2024-11-04 19:20:44.066677,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,180112479,2858782953
