Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:28:43.528803,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140345200,3032251075
2024-11-04 19:28:43.529275,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032261436,140345200
2024-11-04 19:28:43.529566,74,10.5.1.30,50476,129.176.1.88,80,TCP,0,0,2900184190,0
2024-11-04 19:28:43.675393,74,129.176.1.88,80,10.5.1.30,50476,TCP,0,1,4168070607,2900184190
2024-11-04 19:28:43.676029,66,10.5.1.30,50476,129.176.1.88,80,TCP,1,1,2900184337,4168070607
2024-11-04 19:28:43.676569,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032261583,140345200
2024-11-04 19:28:43.679743,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140345350,3032261583
2024-11-04 19:28:43.680709,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032261587,140345350
2024-11-04 19:28:43.681247,144,10.5.1.30,50476,129.176.1.88,80,TCP,1,1,2900184342,4168070607
2024-11-04 19:28:43.827864,66,129.176.1.88,80,10.5.1.30,50476,TCP,1,79,4168070757,2900184342
2024-11-04 19:28:43.828571,197,129.176.1.88,80,10.5.1.30,50476,TCP,1,79,4168070757,2900184342
2024-11-04 19:28:43.828978,66,10.5.1.30,50476,129.176.1.88,80,TCP,79,132,2900184490,4168070757
2024-11-04 19:28:43.829481,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032261736,140345350
2024-11-04 19:28:43.832236,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,140345503,3032261736
