Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:41:48.215172,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362691760,2477848651
2024-11-04 12:41:48.215774,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477866303,362691760
2024-11-04 12:41:48.216091,74,10.5.1.30,43614,74.114.154.18,80,TCP,0,0,3561514752,0
2024-11-04 12:41:48.356001,66,74.114.154.18,80,10.5.1.30,43614,TCP,0,1,,
2024-11-04 12:41:48.356338,54,10.5.1.30,43614,74.114.154.18,80,TCP,1,1,,
2024-11-04 12:41:48.356502,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477866443,362691760
2024-11-04 12:41:48.357148,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362691902,2477866443
2024-11-04 12:41:48.361015,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362691906,2477866443
2024-11-04 12:41:48.361203,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477866448,362691906
2024-11-04 12:41:48.361386,134,10.5.1.30,43614,74.114.154.18,80,TCP,1,1,,
2024-11-04 12:41:48.504047,54,74.114.154.18,80,10.5.1.30,43614,TCP,1,81,,
2024-11-04 12:41:48.504434,412,74.114.154.18,80,10.5.1.30,43614,TCP,1,81,,
2024-11-04 12:41:48.504640,54,10.5.1.30,43614,74.114.154.18,80,TCP,81,359,,
2024-11-04 12:41:48.504915,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477866592,362691906
