Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:54:08.201124,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844829890,3521670231
2024-11-04 18:54:08.201823,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521680698,1844829890
2024-11-04 18:54:08.202121,74,10.5.1.30,35574,185.147.176.29,80,TCP,0,0,114629349,0
2024-11-04 18:54:09.209191,74,10.5.1.30,35574,185.147.176.29,80,TCP,0,0,114630356,0
2024-11-04 18:54:10.222553,74,10.5.1.30,35574,185.147.176.29,80,TCP,0,0,114631369,0
2024-11-04 18:54:10.391983,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3030188299,138261061
2024-11-04 18:54:10.392723,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,537,138272063,3030188299
2024-11-04 18:54:10.392966,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3030188300,138272063
2024-11-04 18:54:10.393412,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3030188300,138272063
2024-11-04 18:54:10.399655,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1073,138272070,3030188300
2024-11-04 18:54:10.400227,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1073,3030188307,138272070
2024-11-04 18:54:10.406675,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1609,138272077,3030188307
2024-11-04 18:54:10.449195,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,1609,3030188356,138272077
2024-11-04 18:54:11.235877,74,10.5.1.30,35574,185.147.176.29,80,TCP,0,0,114632383,0
2024-11-04 18:54:12.249211,74,10.5.1.30,35574,185.147.176.29,80,TCP,0,0,114633396,0
2024-11-04 18:54:13.262532,74,10.5.1.30,35574,185.147.176.29,80,TCP,0,0,114634409,0
2024-11-04 18:54:15.339197,74,10.5.1.30,35574,185.147.176.29,80,TCP,0,0,114636486,0
