Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:38:29.075046,602,10.5.1.10,50846,10.5.1.30,9001,TCP,1,1,2396025893,2131118363
2024-10-31 11:38:29.075220,66,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2131128729,2396025893
2024-10-31 11:38:29.075459,74,10.5.1.30,41354,23.222.39.33,80,TCP,0,0,1990667511,0
2024-10-31 11:38:29.125867,74,23.222.39.33,80,10.5.1.30,41354,TCP,0,1,3955373221,1990667511
2024-10-31 11:38:29.126395,66,10.5.1.30,41354,23.222.39.33,80,TCP,1,1,1990667562,3955373221
2024-10-31 11:38:29.127169,602,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2131128781,2396025893
2024-10-31 11:38:29.132451,602,10.5.1.10,50846,10.5.1.30,9001,TCP,537,537,2396025950,2131128781
2024-10-31 11:38:29.132572,66,10.5.1.30,9001,10.5.1.10,50846,TCP,537,1073,2131128787,2396025950
2024-10-31 11:38:29.132699,137,10.5.1.30,41354,23.222.39.33,80,TCP,1,1,1990667569,3955373221
2024-10-31 11:38:29.177918,66,23.222.39.33,80,10.5.1.30,41354,TCP,1,72,3955373276,1990667569
2024-10-31 11:38:29.178079,232,23.222.39.33,80,10.5.1.30,41354,TCP,1,72,3955373277,1990667569
2024-10-31 11:38:29.178143,66,10.5.1.30,41354,23.222.39.33,80,TCP,72,167,1990667614,3955373277
2024-10-31 11:38:29.178311,602,10.5.1.30,9001,10.5.1.10,50846,TCP,537,1073,2131128832,2396025950
