Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:30:40.898354,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140462569,3032375076
2024-11-04 19:30:40.899085,74,10.5.1.30,47188,2.20.16.244,80,TCP,0,0,3863152833,0
2024-11-04 19:30:40.938984,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032378846,140462569
2024-11-04 19:30:40.963404,74,2.20.16.244,80,10.5.1.30,47188,TCP,0,1,1687840148,3863152833
2024-11-04 19:30:40.963926,66,10.5.1.30,47188,2.20.16.244,80,TCP,1,1,3863152898,1687840148
2024-11-04 19:30:40.964053,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032378871,140462569
2024-11-04 19:30:40.964604,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140462635,3032378871
2024-11-04 19:30:40.969423,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140462640,3032378871
2024-11-04 19:30:40.969769,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032378876,140462640
2024-11-04 19:30:40.970013,137,10.5.1.30,47188,2.20.16.244,80,TCP,1,1,3863152904,1687840148
2024-11-04 19:30:41.028064,66,2.20.16.244,80,10.5.1.30,47188,TCP,1,72,1687840220,3863152904
2024-11-04 19:30:41.030615,232,2.20.16.244,80,10.5.1.30,47188,TCP,1,72,1687840222,3863152904
2024-11-04 19:30:41.030830,66,10.5.1.30,47188,2.20.16.244,80,TCP,72,167,3863152965,1687840222
2024-11-04 19:30:41.031112,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032378938,140462640
