Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:41:52.729128,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3449207293,4091917402
2024-11-04 18:41:52.729529,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091931897,3449207293
2024-11-04 18:41:52.729851,74,10.5.1.30,35848,92.122.125.65,80,TCP,0,0,3676505577,0
2024-11-04 18:41:52.752700,74,92.122.125.65,80,10.5.1.30,35848,TCP,0,1,2761053058,3676505577
2024-11-04 18:41:52.753056,66,10.5.1.30,35848,92.122.125.65,80,TCP,1,1,3676505600,2761053058
2024-11-04 18:41:52.753194,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091931921,3449207293
2024-11-04 18:41:52.756381,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3449207320,4091931921
2024-11-04 18:41:52.756830,146,10.5.1.30,35848,92.122.125.65,80,TCP,1,1,3676505604,2761053058
2024-11-04 18:41:52.775589,66,92.122.125.65,80,10.5.1.30,35848,TCP,1,81,2761053080,3676505604
2024-11-04 18:41:52.799279,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091931967,3449207320
2024-11-04 18:41:52.837979,308,92.122.125.65,80,10.5.1.30,35848,TCP,1,81,2761053143,3676505604
2024-11-04 18:41:52.838375,66,10.5.1.30,35848,92.122.125.65,80,TCP,81,243,3676505685,2761053143
2024-11-04 18:41:52.838633,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091932006,3449207320
2024-11-04 18:41:52.841407,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3449207405,4091932006
2024-11-04 18:41:52.841927,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4091932010,3449207405
2024-11-04 18:41:52.842334,66,10.5.1.30,35848,92.122.125.65,80,TCP,81,243,3676505689,2761053143
2024-11-04 18:41:52.857601,66,92.122.125.65,80,10.5.1.30,35848,TCP,243,82,2761053163,3676505689
2024-11-04 18:41:52.857987,66,10.5.1.30,35848,92.122.125.65,80,TCP,82,244,3676505705,2761053163
2024-11-04 18:41:59.343759,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2194195531,2657941516
2024-11-04 18:41:59.343770,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,137541014,3029429961
2024-11-04 18:41:59.344299,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2657969031,2194195531
2024-11-04 18:41:59.349747,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844101038,3520924268
2024-11-04 18:41:59.350346,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3520951846,1844101038
2024-11-04 18:41:59.351314,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3520951847,1844101038
