Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:05:07.374010,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,182775787,2861463582
2024-11-04 20:05:07.375062,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861474008,182775787
2024-11-04 20:05:07.376007,74,10.5.1.30,39578,208.71.193.147,80,TCP,0,0,4223031355,0
2024-11-04 20:05:07.505581,70,208.71.193.147,80,10.5.1.30,39578,TCP,0,1,4170254448,4223031355
2024-11-04 20:05:07.506604,66,10.5.1.30,39578,208.71.193.147,80,TCP,1,1,4223031485,4170254448
2024-11-04 20:05:07.506710,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861474139,182775787
2024-11-04 20:05:07.510431,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,182775923,2861474139
2024-11-04 20:05:07.511347,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861474144,182775923
2024-11-04 20:05:07.512157,141,10.5.1.30,39578,208.71.193.147,80,TCP,1,1,4223031491,4170254448
2024-11-04 20:05:07.650456,66,208.71.193.147,80,10.5.1.30,39578,TCP,1,76,4170254583,4223031491
2024-11-04 20:05:07.665529,391,208.71.193.147,80,10.5.1.30,39578,TCP,1,76,4170254584,4223031491
2024-11-04 20:05:07.666590,66,10.5.1.30,39578,208.71.193.147,80,TCP,76,326,4223031645,4170254584
2024-11-04 20:05:07.667307,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861474300,182775923
2024-11-04 20:05:07.671043,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1073,182776084,2861474300
2024-11-04 20:05:07.671591,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1609,2861474304,182776084
2024-11-04 20:05:07.672056,66,10.5.1.30,39578,208.71.193.147,80,TCP,76,326,4223031651,4170254584
