Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:33:09.275279,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140610946,3032526486
2024-11-04 19:33:09.275789,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032527182,140610946
2024-11-04 19:33:09.276071,74,10.5.1.30,43072,172.64.153.11,80,TCP,0,0,440011758,0
2024-11-04 19:33:09.308769,74,172.64.153.11,80,10.5.1.30,43072,TCP,0,1,2260405160,440011758
2024-11-04 19:33:09.309307,66,10.5.1.30,43072,172.64.153.11,80,TCP,1,1,440011791,2260405160
2024-11-04 19:33:09.309481,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032527216,140610946
2024-11-04 19:33:09.312722,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140610983,3032527216
2024-11-04 19:33:09.313206,146,10.5.1.30,43072,172.64.153.11,80,TCP,1,1,440011795,2260405160
2024-11-04 19:33:09.328319,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,180857741,2859555192
2024-11-04 19:33:09.328379,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1847171017,3523992651
2024-11-04 19:33:09.329127,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3524021825,1847171017
2024-11-04 19:33:09.329360,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2859555962,180857741
2024-11-04 19:33:09.332846,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1847171022,3524021825
2024-11-04 19:33:09.333341,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3524021829,1847171022
2024-11-04 19:33:09.337434,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2197265525,2661038232
2024-11-04 19:33:09.337842,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2661039025,2197265525
2024-11-04 19:33:09.338337,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2661039025,2197265525
2024-11-04 19:33:09.339493,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1,1847171028,3524021829
2024-11-04 19:33:09.339717,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,537,2197265527,2661039025
2024-11-04 19:33:09.339781,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1609,3524021835,1847171028
2024-11-04 19:33:09.340208,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1609,3524021836,1847171028
2024-11-04 19:33:09.342762,602,10.5.1.30,9001,10.5.1.23,40268,TCP,537,1073,2661039029,2197265527
2024-11-04 19:33:09.342763,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,537,1847171031,3524021836
2024-11-04 19:33:09.346053,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,1073,2197265534,2661039029
2024-11-04 19:33:09.346519,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,2145,3524021842,1847171031
2024-11-04 19:33:09.347206,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1073,1847171036,3524021842
2024-11-04 19:33:09.348644,66,172.64.153.11,80,10.5.1.30,43072,TCP,1,81,2260405197,440011795
2024-11-04 19:33:09.350001,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,1609,2661039037,2197265534
2024-11-04 19:33:09.350684,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1609,1609,2197265538,2661039037
2024-11-04 19:33:09.351275,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2681,3524021847,1847171036
2024-11-04 19:33:09.351883,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,1609,1847171041,3524021847
2024-11-04 19:33:09.355622,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032527262,140610983
2024-11-04 19:33:09.356063,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1609,2145,2661039043,2197265538
2024-11-04 19:33:09.356598,1138,10.5.1.23,40268,10.5.1.30,9001,TCP,2145,2145,2197265544,2661039043
2024-11-04 19:33:09.357159,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,3217,3524021853,1847171041
2024-11-04 19:33:09.357661,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3217,2145,1847171046,3524021853
