Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:26:57.516998,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140239188,3032155236
2024-11-04 19:26:57.517463,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032155424,140239188
2024-11-04 19:26:57.517727,74,10.5.1.30,48984,212.101.122.34,80,TCP,0,0,2334271253,0
2024-11-04 19:26:57.592940,66,212.101.122.34,80,10.5.1.30,48984,TCP,0,1,,
2024-11-04 19:26:57.593215,54,10.5.1.30,48984,212.101.122.34,80,TCP,1,1,,
2024-11-04 19:26:57.593331,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032155500,140239188
2024-11-04 19:26:57.596944,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140239268,3032155500
2024-11-04 19:26:57.597440,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032155504,140239268
2024-11-04 19:26:57.597842,127,10.5.1.30,48984,212.101.122.34,80,TCP,1,1,,
2024-11-04 19:26:57.702889,183,212.101.122.34,80,10.5.1.30,48984,TCP,1,74,,
2024-11-04 19:26:57.703453,54,10.5.1.30,48984,212.101.122.34,80,TCP,74,131,,
2024-11-04 19:26:57.704143,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032155611,140239268
2024-11-04 19:26:57.749046,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1587,140239420,3032155611
2024-11-04 19:26:57.787887,54,212.101.122.34,80,10.5.1.30,48984,TCP,131,75,,
2024-11-04 19:26:57.790950,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1846799480,3523649815
2024-11-04 19:26:57.790971,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3451912355,4094636513
2024-11-04 19:26:57.791234,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,180486204,2859183290
2024-11-04 19:26:57.791782,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3523650287,1846799480
2024-11-04 19:26:57.792005,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4094636960,3451912355
2024-11-04 19:26:57.792005,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2859184425,180486204
