Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:39:34.775425,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3452669339,4095383310
2024-11-04 19:39:34.776028,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095393944,3452669339
2024-11-04 19:39:34.776358,74,10.5.1.30,54630,47.251.46.62,80,TCP,0,0,1631789362,0
2024-11-04 19:39:34.995435,74,47.251.46.62,80,10.5.1.30,54630,TCP,0,1,1865638163,1631789362
2024-11-04 19:39:34.996070,66,10.5.1.30,54630,47.251.46.62,80,TCP,1,1,1631789582,1865638163
2024-11-04 19:39:34.996201,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095394164,3452669339
2024-11-04 19:39:34.999442,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3452669563,4095394164
2024-11-04 19:39:34.999787,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095394167,3452669563
2024-11-04 19:39:35.000041,147,10.5.1.30,54630,47.251.46.62,80,TCP,1,1,1631789586,1865638163
2024-11-04 19:39:35.199928,66,47.251.46.62,80,10.5.1.30,54630,TCP,1,82,1865638388,1631789586
2024-11-04 19:39:35.200675,315,47.251.46.62,80,10.5.1.30,54630,TCP,1,82,1865638389,1631789586
2024-11-04 19:39:35.201129,66,10.5.1.30,54630,47.251.46.62,80,TCP,82,250,1631789787,1865638389
2024-11-04 19:39:35.201629,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095394369,3452669563
