Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:12:03.822802,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,183192236,2861883683
2024-11-04 20:12:03.823653,74,10.5.1.30,45676,172.67.18.142,80,TCP,0,0,642112959,0
2024-11-04 20:12:03.865386,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861890498,183192236
2024-11-04 20:12:03.868157,74,172.67.18.142,80,10.5.1.30,45676,TCP,0,1,1571233078,642112959
2024-11-04 20:12:03.868759,66,10.5.1.30,45676,172.67.18.142,80,TCP,1,1,642113004,1571233078
2024-11-04 20:12:03.868834,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861890502,183192236
2024-11-04 20:12:03.869408,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,183192282,2861890502
2024-11-04 20:12:03.872987,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,183192286,2861890502
2024-11-04 20:12:03.873746,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861890506,183192286
2024-11-04 20:12:03.874354,143,10.5.1.30,45676,172.67.18.142,80,TCP,1,1,642113010,1571233078
2024-11-04 20:12:03.903140,66,172.67.18.142,80,10.5.1.30,45676,TCP,1,78,1571233123,642113010
2024-11-04 20:12:03.938282,531,172.67.18.142,80,10.5.1.30,45676,TCP,1,78,1571233144,642113010
2024-11-04 20:12:03.939584,66,10.5.1.30,45676,172.67.18.142,80,TCP,78,466,642113075,1571233144
2024-11-04 20:12:03.940414,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861890573,183192286
