Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:37:46.709997,602,10.5.1.10,50846,10.5.1.30,9001,TCP,1,1,2395983528,2131076003
2024-10-31 11:37:46.710092,66,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2131086364,2395983528
2024-10-31 11:37:46.710233,74,10.5.1.30,42308,192.0.66.108,80,TCP,0,0,2093988910,0
2024-10-31 11:37:46.738150,66,192.0.66.108,80,10.5.1.30,42308,TCP,0,1,,
2024-10-31 11:37:46.738431,54,10.5.1.30,42308,192.0.66.108,80,TCP,1,1,,
2024-10-31 11:37:46.738726,602,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2131086393,2395983528
2024-10-31 11:37:46.742961,602,10.5.1.10,50846,10.5.1.30,9001,TCP,537,537,2395983561,2131086393
2024-10-31 11:37:46.743130,126,10.5.1.30,42308,192.0.66.108,80,TCP,1,1,,
2024-10-31 11:37:46.768053,54,192.0.66.108,80,10.5.1.30,42308,TCP,1,73,,
2024-10-31 11:37:46.768840,414,192.0.66.108,80,10.5.1.30,42308,TCP,1,73,,
2024-10-31 11:37:46.769290,54,10.5.1.30,42308,192.0.66.108,80,TCP,73,361,,
2024-10-31 11:37:46.770649,602,10.5.1.30,9001,10.5.1.10,50846,TCP,537,1073,2131086425,2395983561
