Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:49:07.462627,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1840929151,3517769591
2024-11-04 17:49:07.462820,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517779959,1840929151
2024-11-04 17:49:07.463048,74,10.5.1.30,49768,104.104.55.65,80,TCP,0,0,3647006732,0
2024-11-04 17:49:07.489993,74,104.104.55.65,80,10.5.1.30,49768,TCP,0,1,3777615126,3647006732
2024-11-04 17:49:07.490189,66,10.5.1.30,49768,104.104.55.65,80,TCP,1,1,3647006759,3777615126
2024-11-04 17:49:07.490297,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517779986,1840929151
2024-11-04 17:49:07.493712,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1840929182,3517779986
2024-11-04 17:49:07.494042,140,10.5.1.30,49768,104.104.55.65,80,TCP,1,1,3647006763,3777615126
2024-11-04 17:49:07.517251,66,104.104.55.65,80,10.5.1.30,49768,TCP,1,75,3777615154,3647006763
2024-11-04 17:49:07.519803,381,104.104.55.65,80,10.5.1.30,49768,TCP,1,75,3777615155,3647006763
2024-11-04 17:49:07.519891,66,10.5.1.30,49768,104.104.55.65,80,TCP,75,316,3647006789,3777615155
2024-11-04 17:49:07.520053,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517780016,1840929182
