Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:57:30.730560,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3003707332,2443283600
2024-11-04 11:57:30.731125,74,10.5.1.30,35540,223.130.200.219,80,TCP,0,0,2223097041,0
2024-11-04 11:57:30.774150,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443294132,3003707332
2024-11-04 11:57:31.025597,74,223.130.200.219,80,10.5.1.30,35540,TCP,0,1,1754346856,2223097041
2024-11-04 11:57:31.025742,66,10.5.1.30,35540,223.130.200.219,80,TCP,1,1,2223097336,1754346856
2024-11-04 11:57:31.025915,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443294384,3003707332
2024-11-04 11:57:31.026070,66,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3003707628,2443294384
2024-11-04 11:57:31.028472,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3003707630,2443294384
2024-11-04 11:57:31.028570,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2443294387,3003707630
2024-11-04 11:57:31.028672,139,10.5.1.30,35540,223.130.200.219,80,TCP,1,1,2223097339,1754346856
2024-11-04 11:57:31.320936,423,223.130.200.219,80,10.5.1.30,35540,TCP,1,74,1754347151,2223097339
2024-11-04 11:57:31.321354,66,10.5.1.30,35540,223.130.200.219,80,TCP,74,358,2223097631,1754347151
2024-11-04 11:57:31.321695,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2443294680,3003707630
2024-11-04 11:57:31.325522,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3003707927,2443294680
2024-11-04 11:57:31.325763,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1609,2443294684,3003707927
2024-11-04 11:57:31.326034,66,10.5.1.30,35540,223.130.200.219,80,TCP,74,358,2223097636,1754347151
2024-11-04 11:57:31.630478,66,223.130.200.219,80,10.5.1.30,35540,TCP,358,75,1754347460,2223097636
2024-11-04 11:57:31.630624,66,10.5.1.30,35540,223.130.200.219,80,TCP,75,359,2223097941,1754347460
2024-11-04 11:57:33.794850,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360037340,2475182653
2024-11-04 11:57:33.837504,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475211924,360037340
2024-11-04 11:57:34.219706,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3132777454,3959821196
2024-11-04 11:57:34.264147,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959829873,3132777454
2024-11-04 11:57:34.267450,1630,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959829876,3132777454
2024-11-04 11:57:34.267641,66,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1565,3132777502,3959829876
2024-11-04 11:57:34.268067,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1565,3132777502,3959829876
2024-11-04 11:57:34.268123,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1565,1073,3959829877,3132777502
2024-11-04 11:57:34.271866,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1565,1073,3959829881,3132777502
2024-11-04 11:57:34.274760,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,2101,3132777509,3959829881
2024-11-04 11:57:34.275510,602,10.5.1.30,9001,10.5.1.11,34324,TCP,2101,1609,3959829884,3132777509
2024-11-04 11:57:34.282172,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1609,2637,3132777516,3959829884
2024-11-04 11:57:34.324209,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2637,2145,3959829933,3132777516
2024-11-04 11:57:35.748404,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,1,360039293,2475211924
2024-11-04 11:57:35.748676,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1073,2475213836,360039293
