Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:30:49.588990,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005706191,2445282703
2024-11-04 12:30:49.589506,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445292947,3005706191
2024-11-04 12:30:49.589778,74,10.5.1.30,48262,151.101.65.153,80,TCP,0,0,1535269379,0
2024-11-04 12:30:49.617018,74,151.101.65.153,80,10.5.1.30,48262,TCP,0,1,738833117,1535269379
2024-11-04 12:30:49.617303,66,10.5.1.30,48262,151.101.65.153,80,TCP,1,1,1535269406,738833117
2024-11-04 12:30:49.617432,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445292975,3005706191
2024-11-04 12:30:49.620990,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005706223,2445292975
2024-11-04 12:30:49.621187,137,10.5.1.30,48262,151.101.65.153,80,TCP,1,1,1535269410,738833117
2024-11-04 12:30:49.649457,66,151.101.65.153,80,10.5.1.30,48262,TCP,1,72,738833149,1535269410
2024-11-04 12:30:49.649739,409,151.101.65.153,80,10.5.1.30,48262,TCP,1,72,738833150,1535269410
2024-11-04 12:30:49.649871,66,10.5.1.30,48262,151.101.65.153,80,TCP,72,344,1535269439,738833150
2024-11-04 12:30:49.649964,66,151.101.65.153,80,10.5.1.30,48262,TCP,344,72,738833150,1535269410
2024-11-04 12:30:49.650069,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445293008,3005706223
2024-11-04 12:30:49.650503,66,10.5.1.30,48262,151.101.65.153,80,TCP,72,345,1535269439,738833150
