Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:51:53.576479,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,359697121,2474871376
2024-11-04 11:51:53.576547,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474871664,359697121
2024-11-04 11:51:53.576663,74,10.5.1.30,36128,139.45.197.239,80,TCP,0,0,3141412245,0
2024-11-04 11:51:53.623103,70,139.45.197.239,80,10.5.1.30,36128,TCP,0,1,3717826284,3141412245
2024-11-04 11:51:53.623223,66,10.5.1.30,36128,139.45.197.239,80,TCP,1,1,3141412291,3717826284
2024-11-04 11:51:53.623699,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474871711,359697121
2024-11-04 11:51:53.628095,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359697173,2474871711
2024-11-04 11:51:53.628219,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474871715,359697173
2024-11-04 11:51:53.628415,144,10.5.1.30,36128,139.45.197.239,80,TCP,1,1,3141412296,3717826284
2024-11-04 11:51:53.673076,66,139.45.197.239,80,10.5.1.30,36128,TCP,1,79,3717826334,3141412296
2024-11-04 11:51:53.673194,443,139.45.197.239,80,10.5.1.30,36128,TCP,1,79,3717826334,3141412296
2024-11-04 11:51:53.673242,66,10.5.1.30,36128,139.45.197.239,80,TCP,79,378,3141412341,3717826334
2024-11-04 11:51:53.673359,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474871760,359697173
2024-11-04 11:51:53.677973,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,359697223,2474871760
2024-11-04 11:51:53.678106,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,1609,2474871765,359697223
2024-11-04 11:51:53.678199,66,10.5.1.30,36128,139.45.197.239,80,TCP,79,378,3141412346,3717826334
2024-11-04 11:51:53.720447,66,139.45.197.239,80,10.5.1.30,36128,TCP,378,80,3717826382,3141412346
2024-11-04 11:51:53.720573,66,10.5.1.30,36128,139.45.197.239,80,TCP,80,379,3141412389,3717826382
2024-11-04 11:51:53.906746,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1,1,1994961388,3727719765
2024-11-04 11:51:53.906767,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1183330040,1183868849
2024-11-04 11:51:53.906838,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1183870491,1183330040
2024-11-04 11:51:53.906839,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3727750284,1994961388
2024-11-04 11:51:53.911377,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3003370513,2442956715
