Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:21:10.693164,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132692364,3024597921
2024-11-04 17:21:10.693229,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024608600,132692364
2024-11-04 17:21:10.693421,74,10.5.1.30,34056,103.68.221.190,80,TCP,0,0,4196616247,0
2024-11-04 17:21:10.911485,78,103.68.221.190,80,10.5.1.30,34056,TCP,0,1,1659497966,4196616247
2024-11-04 17:21:10.911532,66,10.5.1.30,34056,103.68.221.190,80,TCP,1,1,4196616465,1659497966
2024-11-04 17:21:10.911660,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024608818,132692364
2024-11-04 17:21:10.913852,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132692585,3024608818
2024-11-04 17:21:10.913877,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024608821,132692585
2024-11-04 17:21:10.913921,143,10.5.1.30,34056,103.68.221.190,80,TCP,1,1,4196616468,1659497966
2024-11-04 17:21:11.131442,66,103.68.221.190,80,10.5.1.30,34056,TCP,1,78,1659498198,4196616468
2024-11-04 17:21:11.131496,157,103.68.221.190,80,10.5.1.30,34056,TCP,1,78,1659498198,4196616468
2024-11-04 17:21:11.131513,66,10.5.1.30,34056,103.68.221.190,80,TCP,78,92,4196616685,1659498198
2024-11-04 17:21:11.131521,66,103.68.221.190,80,10.5.1.30,34056,TCP,92,78,1659498198,4196616468
2024-11-04 17:21:11.131669,66,10.5.1.30,34056,103.68.221.190,80,TCP,78,93,4196616685,1659498198
