Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:33:53.414769,602,10.5.1.12,53220,10.5.1.30,9001,TCP,1,1,2720205658,2945382738
2024-10-31 11:33:53.414820,66,10.5.1.30,9001,10.5.1.12,53220,TCP,1,537,2945393193,2720205658
2024-10-31 11:33:53.414931,74,10.5.1.30,36686,138.1.33.162,80,TCP,0,0,4075448862,0
2024-10-31 11:33:53.589948,74,138.1.33.162,80,10.5.1.30,36686,TCP,0,1,3963330284,4075448862
2024-10-31 11:33:53.590001,66,10.5.1.30,36686,138.1.33.162,80,TCP,1,1,4075449037,3963330284
2024-10-31 11:33:53.590111,602,10.5.1.30,9001,10.5.1.12,53220,TCP,1,537,2945393368,2720205658
2024-10-31 11:33:53.592903,602,10.5.1.12,53220,10.5.1.30,9001,TCP,537,537,2720205836,2945393368
2024-10-31 11:33:53.592937,66,10.5.1.30,9001,10.5.1.12,53220,TCP,537,1073,2945393371,2720205836
2024-10-31 11:33:53.592999,140,10.5.1.30,36686,138.1.33.162,80,TCP,1,1,4075449040,3963330284
2024-10-31 11:33:53.767526,66,138.1.33.162,80,10.5.1.30,36686,TCP,1,75,3963330460,4075449040
2024-10-31 11:33:53.767770,399,138.1.33.162,80,10.5.1.30,36686,TCP,1,75,3963330460,4075449040
2024-10-31 11:33:53.767869,66,10.5.1.30,36686,138.1.33.162,80,TCP,75,334,4075449215,3963330460
2024-10-31 11:33:53.768340,602,10.5.1.30,9001,10.5.1.12,53220,TCP,537,1073,2945393546,2720205836
2024-10-31 11:33:53.771401,602,10.5.1.12,53220,10.5.1.30,9001,TCP,1073,1073,2720206014,2945393546
2024-10-31 11:33:53.771480,66,10.5.1.30,9001,10.5.1.12,53220,TCP,1073,1609,2945393549,2720206014
2024-10-31 11:33:53.771688,66,10.5.1.30,36686,138.1.33.162,80,TCP,75,334,4075449219,3963330460
2024-10-31 11:33:53.944909,66,138.1.33.162,80,10.5.1.30,36686,TCP,334,76,3963330638,4075449219
2024-10-31 11:33:53.944995,66,10.5.1.30,36686,138.1.33.162,80,TCP,76,335,4075449392,3963330638
2024-10-31 11:34:02.037488,602,10.5.1.23,9001,10.5.1.30,41088,TCP,1,1,1760911404,4135351846
2024-10-31 11:34:02.037878,66,10.5.1.30,41088,10.5.1.23,9001,TCP,1,537,4135380877,1760911404
2024-10-31 11:34:02.704065,602,10.5.1.12,53220,10.5.1.30,9001,TCP,1609,1073,2720214947,2945393549
2024-10-31 11:34:02.704111,66,10.5.1.30,9001,10.5.1.12,53220,TCP,1073,2145,2945402482,2720214947
2024-10-31 11:34:02.731582,602,10.5.1.23,9001,10.5.1.30,41088,TCP,537,1,1760912099,4135380877
2024-10-31 11:34:02.731688,66,10.5.1.30,41088,10.5.1.23,9001,TCP,1,1073,4135381571,1760912099
2024-10-31 11:34:03.187131,602,10.5.1.11,46568,10.5.1.30,9001,TCP,1,1,1276424972,197207262
2024-10-31 11:34:03.187310,66,10.5.1.30,9001,10.5.1.11,46568,TCP,1,537,197237841,1276424972
2024-10-31 11:34:03.196467,602,10.5.1.11,46568,10.5.1.30,9001,TCP,537,1,1276424981,197237841
2024-10-31 11:34:03.196543,66,10.5.1.30,9001,10.5.1.11,46568,TCP,1,1073,197237851,1276424981
