Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:32:52.664166,74,138.1.33.162,80,10.5.1.30,53934,TCP,0,1,35468287,1167463999
2024-11-04 17:32:52.664290,66,10.5.1.30,53934,138.1.33.162,80,TCP,1,1,1167464175,35468287
2024-11-04 17:32:52.664440,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1,2852339297,173640901
2024-11-04 17:32:52.664637,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1,537,173641077,2852339297
2024-11-04 17:32:52.666619,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,537,173641079,2852339297
2024-11-04 17:32:52.666673,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,537,2852339299,173641079
2024-11-04 17:32:52.666758,140,10.5.1.30,53934,138.1.33.162,80,TCP,1,1,1167464177,35468287
2024-11-04 17:32:52.839776,66,138.1.33.162,80,10.5.1.30,53934,TCP,1,75,35468464,1167464177
2024-11-04 17:32:52.839950,399,138.1.33.162,80,10.5.1.30,53934,TCP,1,75,35468464,1167464177
2024-11-04 17:32:52.840031,66,10.5.1.30,53934,138.1.33.162,80,TCP,75,334,1167464351,35468464
2024-11-04 17:32:52.840264,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,537,2852339473,173641079
2024-11-04 17:32:52.841942,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1073,173641255,2852339473
2024-11-04 17:32:52.842046,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1073,2852339475,173641255
2024-11-04 17:32:52.842130,66,10.5.1.30,53934,138.1.33.162,80,TCP,75,334,1167464353,35468464
2024-11-04 17:32:53.017649,66,138.1.33.162,80,10.5.1.30,53934,TCP,334,76,35468639,1167464353
2024-11-04 17:32:53.017757,66,10.5.1.30,53934,138.1.33.162,80,TCP,76,335,1167464528,35468639
2024-11-04 17:32:53.126492,74,10.5.1.30,50572,10.5.1.10,80,TCP,0,0,4087792294,0
2024-11-04 17:32:53.126685,74,10.5.1.10,80,10.5.1.30,50572,TCP,0,1,3445067690,4087792294
