Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:46:24.195892,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362967741,2478131935
2024-11-04 12:46:24.196330,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2478142283,362967741
2024-11-04 12:46:24.196597,74,10.5.1.30,53204,199.116.164.229,80,TCP,0,0,466903513,0
2024-11-04 12:46:24.312874,74,199.116.164.229,80,10.5.1.30,53204,TCP,0,1,4143931255,466903513
2024-11-04 12:46:24.313515,66,10.5.1.30,53204,199.116.164.229,80,TCP,1,1,466903629,4143931255
2024-11-04 12:46:24.313670,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2478142401,362967741
2024-11-04 12:46:24.318360,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362967863,2478142401
2024-11-04 12:46:24.318795,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2478142406,362967863
2024-11-04 12:46:24.319147,141,10.5.1.30,53204,199.116.164.229,80,TCP,1,1,466903635,4143931255
2024-11-04 12:46:24.435236,66,199.116.164.229,80,10.5.1.30,53204,TCP,1,76,4143931377,466903635
2024-11-04 12:46:24.435903,530,199.116.164.229,80,10.5.1.30,53204,TCP,1,76,4143931378,466903635
2024-11-04 12:46:24.436263,66,10.5.1.30,53204,199.116.164.229,80,TCP,76,465,466903752,4143931378
2024-11-04 12:46:24.436689,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2478142524,362967863
