Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:43:54.992217,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362818537,2477982691
2024-11-04 12:43:54.992544,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477993080,362818537
2024-11-04 12:43:54.992809,74,10.5.1.30,33854,172.65.64.51,80,TCP,0,0,2899212443,0
2024-11-04 12:43:55.024036,74,172.65.64.51,80,10.5.1.30,33854,TCP,0,1,2528645409,2899212443
2024-11-04 12:43:55.024419,66,10.5.1.30,33854,172.65.64.51,80,TCP,1,1,2899212474,2528645409
2024-11-04 12:43:55.024465,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477993111,362818537
2024-11-04 12:43:55.027887,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362818573,2477993111
2024-11-04 12:43:55.028106,139,10.5.1.30,33854,172.65.64.51,80,TCP,1,1,2899212478,2528645409
2024-11-04 12:43:55.054046,66,172.65.64.51,80,10.5.1.30,33854,TCP,1,74,2528645444,2899212478
2024-11-04 12:43:55.070524,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477993158,362818573
2024-11-04 12:43:55.397608,582,172.65.64.51,80,10.5.1.30,33854,TCP,1,74,2528645785,2899212478
2024-11-04 12:43:55.398219,66,10.5.1.30,33854,172.65.64.51,80,TCP,74,517,2899212848,2528645785
2024-11-04 12:43:55.398624,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477993486,362818573
2024-11-04 12:43:55.402039,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1587,362818947,2477993486
2024-11-04 12:43:55.402483,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,1609,2477993489,362818947
2024-11-04 12:43:55.402931,66,10.5.1.30,33854,172.65.64.51,80,TCP,74,517,2899212853,2528645785
2024-11-04 12:43:55.476533,66,172.65.64.51,80,10.5.1.30,33854,TCP,517,75,2528645860,2899212853
2024-11-04 12:43:55.545022,66,172.65.64.51,80,10.5.1.30,33854,TCP,517,75,2528645931,2899212853
2024-11-04 12:43:55.545400,66,10.5.1.30,33854,172.65.64.51,80,TCP,75,518,2899212995,2528645931
