Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:50:43.456577,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844625145,3521465655
2024-11-04 18:50:43.457061,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521475953,1844625145
2024-11-04 18:50:43.457425,74,10.5.1.30,58574,3.210.0.83,80,TCP,0,0,2785780434,0
2024-11-04 18:50:43.582117,74,3.210.0.83,80,10.5.1.30,58574,TCP,0,1,477362365,2785780434
2024-11-04 18:50:43.582477,66,10.5.1.30,58574,3.210.0.83,80,TCP,1,1,2785780559,477362365
2024-11-04 18:50:43.582605,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521476078,1844625145
2024-11-04 18:50:43.586180,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1844625275,3521476078
2024-11-04 18:50:43.586440,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3521476082,1844625275
2024-11-04 18:50:43.586706,137,10.5.1.30,58574,3.210.0.83,80,TCP,1,1,2785780563,477362365
2024-11-04 18:50:43.706990,66,3.210.0.83,80,10.5.1.30,58574,TCP,1,72,477362490,2785780563
2024-11-04 18:50:43.707424,588,3.210.0.83,80,10.5.1.30,58574,TCP,1,72,477362491,2785780563
2024-11-04 18:50:43.707648,66,10.5.1.30,58574,3.210.0.83,80,TCP,72,523,2785780684,477362491
2024-11-04 18:50:43.707925,1116,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3521476204,1844625275
2024-11-04 18:50:43.711171,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1587,1844625400,3521476204
2024-11-04 18:50:43.711676,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1587,1609,3521476207,1844625400
2024-11-04 18:50:43.711911,66,10.5.1.30,58574,3.210.0.83,80,TCP,72,523,2785780689,477362491
2024-11-04 18:50:43.854451,66,3.210.0.83,80,10.5.1.30,58574,TCP,523,73,477362638,2785780689
2024-11-04 18:50:43.854923,66,10.5.1.30,58574,3.210.0.83,80,TCP,73,524,2785780832,477362638
2024-11-04 18:50:46.728668,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2223975719,3155009187
2024-11-04 18:50:46.728683,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1587,1844628417,3521476207
2024-11-04 18:50:46.729246,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3155037097,2223975719
2024-11-04 18:50:46.729459,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1587,2145,3521479225,1844628417
2024-11-04 18:50:46.733219,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1587,1844628422,3521479225
2024-11-04 18:50:46.733339,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,178315146,2856985129
2024-11-04 18:50:46.733783,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1587,2681,3521479229,1844628422
2024-11-04 18:50:46.733828,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2857013367,178315146
2024-11-04 18:50:46.734556,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2194722922,2658468002
2024-11-04 18:50:46.734987,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2658496422,2194722922
2024-11-04 18:50:46.736676,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2223975727,3155037097
2024-11-04 18:50:46.736964,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3155037105,2223975727
