Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:43:06.008335,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1840567697,3517407790
2024-11-04 17:43:06.008518,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517418504,1840567697
2024-11-04 17:43:06.008667,74,10.5.1.30,58156,183.61.120.237,80,TCP,0,0,1003092482,0
2024-11-04 17:43:06.237337,66,183.61.120.237,80,10.5.1.30,58156,TCP,0,1,,
2024-11-04 17:43:06.237494,54,10.5.1.30,58156,183.61.120.237,80,TCP,1,1,,
2024-11-04 17:43:06.237659,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517418733,1840567697
2024-11-04 17:43:06.239875,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1840567929,3517418733
2024-11-04 17:43:06.239955,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517418736,1840567929
2024-11-04 17:43:06.240027,133,10.5.1.30,58156,183.61.120.237,80,TCP,1,1,,
2024-11-04 17:43:06.463902,54,183.61.120.237,80,10.5.1.30,58156,TCP,1,80,,
2024-11-04 17:43:06.468968,529,183.61.120.237,80,10.5.1.30,58156,TCP,1,80,,
2024-11-04 17:43:06.469055,54,10.5.1.30,58156,183.61.120.237,80,TCP,80,476,,
2024-11-04 17:43:06.469213,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517418965,1840567929
2024-11-04 17:43:06.471292,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1073,1840568160,3517418965
2024-11-04 17:43:06.471442,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,1609,3517418967,1840568160
2024-11-04 17:43:06.471573,54,10.5.1.30,58156,183.61.120.237,80,TCP,80,476,,
2024-11-04 17:43:06.696630,54,183.61.120.237,80,10.5.1.30,58156,TCP,476,81,,
2024-11-04 17:43:06.696802,54,10.5.1.30,58156,183.61.120.237,80,TCP,81,477,,
2024-11-04 17:43:08.745267,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2190664933,2654314314
2024-11-04 17:43:08.745271,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1073,1840570434,3517418967
2024-11-04 17:43:08.745440,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2219917736,3150917101
2024-11-04 17:43:08.745681,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2145,3517421241,1840570434
2024-11-04 17:43:08.745687,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3150979113,2219917736
2024-11-04 17:43:08.745688,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2654438432,2190664933
2024-11-04 17:43:08.750326,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1073,1840570439,3517421241
2024-11-04 17:43:08.750639,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2681,3517421246,1840570439
2024-11-04 17:43:08.750898,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,1073,1840570440,3517421246
2024-11-04 17:43:08.751015,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2219917742,3150979113
2024-11-04 17:43:08.751058,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3217,3517421247,1840570440
2024-11-04 17:43:08.751293,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3150979119,2219917742
2024-11-04 17:43:08.755246,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,174257168,2852941824
2024-11-04 17:43:08.755396,1630,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1,2219917746,3150979119
2024-11-04 17:43:08.755411,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852955388,174257168
2024-11-04 17:43:08.755650,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2637,3150979123,2219917746
2024-11-04 17:43:08.755932,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852955389,174257168
2024-11-04 17:43:08.757073,1630,10.5.1.21,54580,10.5.1.30,9001,TCP,3217,1073,1840570446,3517421247
2024-11-04 17:43:08.757348,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,4781,3517421253,1840570446
2024-11-04 17:43:08.757754,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,4781,3517421253,1840570446
2024-11-04 17:43:08.757932,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2637,3150979126,2219917746
2024-11-04 17:43:08.763329,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3445683327,4088345971
2024-11-04 17:43:08.763512,1116,10.5.1.21,54580,10.5.1.30,9001,TCP,4781,1609,1840570452,3517421253
2024-11-04 17:43:08.763610,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4088407931,3445683327
2024-11-04 17:43:08.763779,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,5831,3517421259,1840570452
2024-11-04 17:43:08.766577,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4088407934,3445683327
2024-11-04 17:43:08.766647,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,134010437,3025764814
2024-11-04 17:43:08.766852,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3025926674,134010437
2024-11-04 17:43:08.770430,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3025926677,134010437
2024-11-04 17:43:08.774523,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,174257187,2852955389
2024-11-04 17:43:08.774657,602,10.5.1.21,54580,10.5.1.30,9001,TCP,5831,2145,1840570463,3517421259
2024-11-04 17:43:08.774844,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2852955408,174257187
2024-11-04 17:43:08.774913,1138,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,6367,3517421271,1840570463
2024-11-04 17:43:08.776706,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3445683340,4088407934
2024-11-04 17:43:08.776709,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,134010447,3025926677
2024-11-04 17:43:08.776966,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3025926684,134010447
2024-11-04 17:43:08.780367,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4088407948,3445683340
2024-11-04 17:43:08.782049,602,10.5.1.21,54580,10.5.1.30,9001,TCP,6367,3217,1840570471,3517421271
2024-11-04 17:43:08.782219,602,10.5.1.30,9001,10.5.1.21,54580,TCP,3217,6903,3517421278,1840570471
2024-11-04 17:43:08.782891,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1073,174257196,2852955408
2024-11-04 17:43:08.783944,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,134010455,3025926684
2024-11-04 17:43:08.790473,602,10.5.1.21,54580,10.5.1.30,9001,TCP,6903,3753,1840570479,3517421278
2024-11-04 17:43:08.793904,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3445683358,4088407948
2024-11-04 17:43:08.802981,66,10.5.1.20,56104,10.5.1.30,9001,TCP,2637,537,2219917794,3150979126
2024-11-04 17:43:08.826291,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1609,2852955459,174257196
2024-11-04 17:43:08.826299,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3025926733,134010455
2024-11-04 17:43:08.833401,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2637,537,2219917824,3150979126
2024-11-04 17:43:08.833852,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,3173,3150979202,2219917824
