Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:43:12.813509,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362776358,2477942161
2024-11-04 12:43:12.813846,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477950901,362776358
2024-11-04 12:43:12.814086,74,10.5.1.30,48306,49.7.133.88,80,TCP,0,0,2179860547,0
2024-11-04 12:43:13.007015,74,49.7.133.88,80,10.5.1.30,48306,TCP,0,1,845075752,2179860547
2024-11-04 12:43:13.007416,66,10.5.1.30,48306,49.7.133.88,80,TCP,1,1,2179860740,845075752
2024-11-04 12:43:13.007531,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477951095,362776358
2024-11-04 12:43:13.010727,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362776556,2477951095
2024-11-04 12:43:13.011108,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477951098,362776556
2024-11-04 12:43:13.011399,143,10.5.1.30,48306,49.7.133.88,80,TCP,1,1,2179860744,845075752
2024-11-04 12:43:13.211913,66,49.7.133.88,80,10.5.1.30,48306,TCP,1,78,845075954,2179860744
2024-11-04 12:43:13.212358,439,49.7.133.88,80,10.5.1.30,48306,TCP,1,78,845075954,2179860744
2024-11-04 12:43:13.212600,66,10.5.1.30,48306,49.7.133.88,80,TCP,78,374,2179860946,845075954
2024-11-04 12:43:13.212871,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477951300,362776556
