Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:33:03.163308,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,173651576,2852347510
2024-11-04 17:33:03.163588,74,10.5.1.30,60654,110.45.151.152,80,TCP,0,0,2641620914,0
2024-11-04 17:33:03.206354,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852349839,173651576
2024-11-04 17:33:03.494055,74,110.45.151.152,80,10.5.1.30,60654,TCP,0,1,3670100170,2641620914
2024-11-04 17:33:03.494167,66,10.5.1.30,60654,110.45.151.152,80,TCP,1,1,2641621245,3670100170
2024-11-04 17:33:03.494282,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852350127,173651576
2024-11-04 17:33:03.494442,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173651907,2852350127
2024-11-04 17:33:03.497491,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173651910,2852350127
2024-11-04 17:33:03.497615,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2852350130,173651910
2024-11-04 17:33:03.497723,143,10.5.1.30,60654,110.45.151.152,80,TCP,1,1,2641621248,3670100170
2024-11-04 17:33:03.826628,66,110.45.151.152,80,10.5.1.30,60654,TCP,1,78,3670100503,2641621248
2024-11-04 17:33:03.829068,384,110.45.151.152,80,10.5.1.30,60654,TCP,1,78,3670100506,2641621248
2024-11-04 17:33:03.829119,66,10.5.1.30,60654,110.45.151.152,80,TCP,78,319,2641621580,3670100506
2024-11-04 17:33:03.829265,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2852350462,173651910
2024-11-04 17:33:03.833825,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1073,173652247,2852350462
2024-11-04 17:33:03.833922,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1609,2852350467,173652247
2024-11-04 17:33:03.834031,66,10.5.1.30,60654,110.45.151.152,80,TCP,78,319,2641621585,3670100506
2024-11-04 17:33:04.162116,66,110.45.151.152,80,10.5.1.30,60654,TCP,319,79,3670100838,2641621585
2024-11-04 17:33:04.162241,66,10.5.1.30,60654,110.45.151.152,80,TCP,79,320,2641621913,3670100838
2024-11-04 17:33:08.503656,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1839970192,3516811020
2024-11-04 17:33:08.504451,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3516821000,1839970192
2024-11-04 17:33:08.504665,66,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1839970193,3516821000
2024-11-04 17:33:09.533997,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2219318525,3150369572
2024-11-04 17:33:09.534895,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3150379903,2219318525
2024-11-04 17:33:09.535074,66,10.5.1.20,56104,10.5.1.30,9001,TCP,537,537,2219318526,3150379903
2024-11-04 17:33:10.210027,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,1073,173658623,2852350467
2024-11-04 17:33:10.210209,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2145,2852356843,173658623
