Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:51:04.515340,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453359079,4096073289
2024-11-04 19:51:04.515979,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096083684,3453359079
2024-11-04 19:51:04.516356,74,10.5.1.30,38334,151.101.130.186,80,TCP,0,0,1911437755,0
2024-11-04 19:51:04.545314,74,151.101.130.186,80,10.5.1.30,38334,TCP,0,1,1021829261,1911437755
2024-11-04 19:51:04.545920,66,10.5.1.30,38334,151.101.130.186,80,TCP,1,1,1911437785,1021829261
2024-11-04 19:51:04.546035,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096083714,3453359079
2024-11-04 19:51:04.549617,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453359113,4096083714
2024-11-04 19:51:04.550096,143,10.5.1.30,38334,151.101.130.186,80,TCP,1,1,1911437789,1021829261
2024-11-04 19:51:04.575056,66,151.101.130.186,80,10.5.1.30,38334,TCP,1,78,1021829292,1911437789
2024-11-04 19:51:04.592170,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096083760,3453359113
2024-11-04 19:51:04.595226,522,151.101.130.186,80,10.5.1.30,38334,TCP,1,78,1021829292,1911437789
2024-11-04 19:51:04.595847,66,10.5.1.30,38334,151.101.130.186,80,TCP,78,457,1911437835,1021829292
2024-11-04 19:51:04.596430,66,151.101.130.186,80,10.5.1.30,38334,TCP,457,78,1021829293,1911437789
2024-11-04 19:51:04.596506,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096083764,3453359113
2024-11-04 19:51:04.597270,66,10.5.1.30,38334,151.101.130.186,80,TCP,78,458,1911437836,1021829293
2024-11-04 19:51:04.599593,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3453359163,4096083764
2024-11-04 19:51:04.600036,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4096083768,3453359163
2024-11-04 19:51:04.630086,66,151.101.130.186,80,10.5.1.30,38334,TCP,458,79,1021829341,1911437836
2024-11-04 19:51:04.642197,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1609,3453359206,4096083768
2024-11-04 19:51:13.147276,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848254836,3525078108
2024-11-04 19:51:13.147906,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181941561,2860612049
2024-11-04 19:51:13.148097,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3525105644,1848254836
