Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:46:24.477250,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,359368022,2474541110
2024-11-04 11:46:24.477487,74,10.5.1.30,58262,203.205.254.157,80,TCP,0,0,1844982577,0
2024-11-04 11:46:24.517561,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474542605,359368022
2024-11-04 11:46:24.766344,66,203.205.254.157,80,10.5.1.30,58262,TCP,0,1,,
2024-11-04 11:46:24.766390,54,10.5.1.30,58262,203.205.254.157,80,TCP,1,1,,
2024-11-04 11:46:24.766549,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474542854,359368022
2024-11-04 11:46:24.766648,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359368312,2474542854
2024-11-04 11:46:24.768663,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359368314,2474542854
2024-11-04 11:46:24.768692,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474542856,359368314
2024-11-04 11:46:24.768790,124,10.5.1.30,58262,203.205.254.157,80,TCP,1,1,,
2024-11-04 11:46:25.053716,54,203.205.254.157,80,10.5.1.30,58262,TCP,1,71,,
2024-11-04 11:46:25.053772,377,203.205.254.157,80,10.5.1.30,58262,TCP,1,71,,
2024-11-04 11:46:25.053794,54,10.5.1.30,58262,203.205.254.157,80,TCP,71,324,,
2024-11-04 11:46:25.053994,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474543141,359368314
