Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:55:52.584624,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453647148,4096361348
2024-11-04 19:55:52.585356,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096371753,3453647148
2024-11-04 19:55:52.585799,74,10.5.1.30,42146,23.35.142.197,80,TCP,0,0,723942176,0
2024-11-04 19:55:52.607789,74,23.35.142.197,80,10.5.1.30,42146,TCP,0,1,1157803059,723942176
2024-11-04 19:55:52.608074,66,10.5.1.30,42146,23.35.142.197,80,TCP,1,1,723942198,1157803059
2024-11-04 19:55:52.608371,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096371776,3453647148
2024-11-04 19:55:52.612942,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453647177,4096371776
2024-11-04 19:55:52.613380,137,10.5.1.30,42146,23.35.142.197,80,TCP,1,1,723942203,1157803059
2024-11-04 19:55:52.636004,66,23.35.142.197,80,10.5.1.30,42146,TCP,1,72,1157803086,723942203
2024-11-04 19:55:52.655494,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096371823,3453647177
2024-11-04 19:55:52.717728,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,537,3453647281,4096371823
2024-11-04 19:55:52.717740,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,182221130,2860891502
2024-11-04 19:55:52.717776,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2227881708,3158915018
2024-11-04 19:55:52.718705,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2860919351,182221130
2024-11-04 19:55:52.718713,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3158943086,2227881708
2024-11-04 19:55:52.718854,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1609,4096371887,3453647281
2024-11-04 19:55:52.728222,1116,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848534417,3525357076
2024-11-04 19:55:52.728333,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2198628916,2662374402
2024-11-04 19:55:52.728755,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1051,3525385224,1848534417
2024-11-04 19:55:52.729173,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2662402416,2198628916
2024-11-04 19:55:52.729855,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1051,3525385226,1848534417
2024-11-04 19:55:52.730783,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1051,537,1848534419,3525385226
2024-11-04 19:55:52.730944,1630,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2227881722,3158943086
2024-11-04 19:55:52.731841,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2101,3158943100,2227881722
2024-11-04 19:55:52.732551,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2662402419,2198628916
2024-11-04 19:55:52.733105,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,182221146,2860919351
2024-11-04 19:55:52.733468,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1051,3525385229,1848534419
2024-11-04 19:55:52.734017,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2860919367,182221146
2024-11-04 19:55:52.734427,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1051,1073,1848534423,3525385229
2024-11-04 19:55:52.739031,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2860919372,182221146
2024-11-04 19:55:52.739768,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2101,3158943107,2227881722
2024-11-04 19:55:52.739849,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1051,1073,1848534429,3525385229
2024-11-04 19:55:52.739959,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,537,2198628928,2662402419
2024-11-04 19:55:52.743161,602,10.5.1.30,9001,10.5.1.23,40268,TCP,537,1073,2662402430,2198628928
2024-11-04 19:55:52.743965,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,1587,3525385240,1848534429
2024-11-04 19:55:52.744703,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1587,1609,1848534433,3525385240
2024-11-04 19:55:52.746557,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,2123,3525385242,1848534433
2024-11-04 19:55:52.749016,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,537,182221162,2860919372
2024-11-04 19:55:52.749088,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,2101,1051,2227881740,3158943107
2024-11-04 19:55:52.749158,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,1073,2198628937,2662402430
2024-11-04 19:55:52.749946,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1609,2860919383,182221162
2024-11-04 19:55:52.753145,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,1051,3151,3158943121,2227881740
2024-11-04 19:55:52.753414,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2123,2145,1848534442,3525385242
2024-11-04 19:55:52.756804,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,1073,182221169,2860919383
2024-11-04 19:55:52.762477,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,3151,2101,2227881753,3158943121
2024-11-04 19:55:52.792153,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,1609,2662402479,2198628937
2024-11-04 19:55:52.795486,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,2659,3525385291,1848534442
2024-11-04 19:55:52.796171,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2659,2145,1848534485,3525385291
2024-11-04 19:55:52.796785,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,3195,3525385292,1848534485
2024-11-04 19:55:52.798817,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2145,2860919432,182221169
2024-11-04 19:55:52.805482,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2101,4201,3158943173,2227881753
2024-11-04 19:55:52.885291,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3195,2145,1848534574,3525385292
2024-11-04 19:55:52.885422,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,182221298,2860919432
2024-11-04 19:55:52.885642,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,141974556,3033862583
2024-11-04 19:55:52.885772,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4201,2101,2227881876,3158943173
2024-11-04 19:55:52.885917,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1609,1073,2198629074,2662402479
2024-11-04 19:55:52.886282,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2860919519,182221298
2024-11-04 19:55:52.886469,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,2145,2662402573,2198629074
2024-11-04 19:55:52.886481,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,3731,3525385382,1848534574
2024-11-04 19:55:52.886619,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,537,3453647450,4096371887
2024-11-04 19:55:52.886782,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2101,4737,3158943254,2227881876
2024-11-04 19:55:52.887567,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,2145,4096372055,3453647450
2024-11-04 19:55:52.889418,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,1073,182221302,2860919519
2024-11-04 19:55:52.889838,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3217,2860919523,182221302
2024-11-04 19:55:52.896095,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,3217,1073,182221309,2860919523
2024-11-04 19:55:52.896608,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,4267,2860919529,182221309
2024-11-04 19:55:52.897278,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,4267,2860919530,182221309
2024-11-04 19:55:52.902661,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4737,2101,2227881893,3158943254
2024-11-04 19:55:52.902798,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,4267,2123,182221315,2860919530
2024-11-04 19:55:52.903400,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2101,5273,3158943271,2227881893
2024-11-04 19:55:52.904314,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,2123,5317,2860919537,182221315
2024-11-04 19:55:52.906303,602,10.5.1.30,9001,10.5.1.20,56104,TCP,2101,5273,3158943274,2227881893
2024-11-04 19:55:52.909211,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,5317,3173,182221322,2860919537
2024-11-04 19:55:52.915986,602,10.5.1.20,56104,10.5.1.30,9001,TCP,5273,2637,2227881907,3158943274
2024-11-04 19:55:52.916712,602,10.5.1.30,9001,10.5.1.20,56104,TCP,2637,5809,3158943284,2227881907
2024-11-04 19:55:52.923080,602,10.5.1.20,56104,10.5.1.30,9001,TCP,5809,3173,2227881914,3158943284
2024-11-04 19:55:52.928819,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3033890836,141974556
2024-11-04 19:55:52.929384,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,141974600,3033890836
2024-11-04 19:55:52.929986,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3033890837,141974600
2024-11-04 19:55:52.930969,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3033890838,141974600
2024-11-04 19:55:52.931573,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,537,141974602,3033890838
2024-11-04 19:55:52.933309,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,537,141974604,3033890838
2024-11-04 19:55:52.934209,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1609,3033890841,141974604
2024-11-04 19:55:52.939705,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,141974610,3033890841
2024-11-04 19:55:52.952161,66,10.5.1.30,9001,10.5.1.12,55266,TCP,3173,6367,2860919585,182221322
2024-11-04 19:55:52.965497,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3173,6345,3158943333,2227881914
2024-11-04 19:55:52.982158,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3033890889,141974610
2024-11-04 19:55:53.082604,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1073,141974753,3033890889
2024-11-04 19:55:53.082800,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3731,2145,1848534771,3525385382
2024-11-04 19:55:53.083684,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2681,3033890990,141974753
2024-11-04 19:55:53.084208,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,4267,3525385580,1848534771
2024-11-04 19:55:53.093455,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2681,1073,141974764,3033890990
2024-11-04 19:55:53.094634,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,3217,3033891001,141974764
2024-11-04 19:55:53.095575,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,3217,3033891002,141974764
2024-11-04 19:55:53.099340,602,10.5.1.20,56104,10.5.1.30,9001,TCP,6345,3173,2227882090,3158943333
2024-11-04 19:55:53.099441,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3217,1609,141974770,3033891002
2024-11-04 19:55:53.100336,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3173,6881,3158943468,2227882090
2024-11-04 19:55:53.100912,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,3753,3033891008,141974770
2024-11-04 19:55:53.102835,602,10.5.1.30,9001,10.5.1.20,56104,TCP,3173,6881,3158943471,2227882090
2024-11-04 19:55:53.105678,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3753,2145,141974776,3033891008
2024-11-04 19:55:53.106249,602,10.5.1.30,9001,10.5.1.11,42168,TCP,2145,4289,3033891013,141974776
2024-11-04 19:55:53.112576,602,10.5.1.11,42168,10.5.1.30,9001,TCP,4289,2681,141974783,3033891013
2024-11-04 19:55:53.113126,602,10.5.1.30,9001,10.5.1.11,42168,TCP,2681,4825,3033891020,141974783
2024-11-04 19:55:53.115968,602,10.5.1.20,56104,10.5.1.30,9001,TCP,6881,3709,2227882107,3158943471
