Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:29:04.913218,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140366584,3032281844
2024-11-04 19:29:04.914054,74,10.5.1.30,48394,195.211.222.2,80,TCP,0,0,2096149456,0
2024-11-04 19:29:04.955648,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032282862,140366584
2024-11-04 19:29:04.962950,74,195.211.222.2,80,10.5.1.30,48394,TCP,0,1,689583533,2096149456
2024-11-04 19:29:04.963420,66,10.5.1.30,48394,195.211.222.2,80,TCP,1,1,2096149505,689583533
2024-11-04 19:29:04.963494,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032282870,140366584
2024-11-04 19:29:04.966596,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140366637,3032282870
2024-11-04 19:29:04.967222,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032282874,140366637
2024-11-04 19:29:04.967729,144,10.5.1.30,48394,195.211.222.2,80,TCP,1,1,2096149509,689583533
2024-11-04 19:29:05.010239,66,195.211.222.2,80,10.5.1.30,48394,TCP,1,79,689583586,2096149509
2024-11-04 19:29:05.010458,514,195.211.222.2,80,10.5.1.30,48394,TCP,1,79,689583586,2096149509
2024-11-04 19:29:05.010690,66,10.5.1.30,48394,195.211.222.2,80,TCP,79,449,2096149552,689583586
2024-11-04 19:29:05.010968,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032282918,140366637
