Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:15:34.187237,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3004790789,2444363535
2024-11-04 12:15:34.187603,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2444377546,3004790789
2024-11-04 12:15:34.187845,74,10.5.1.30,39734,66.254.114.238,80,TCP,0,0,238219571,0
2024-11-04 12:15:35.132733,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,361118678,2476277552
2024-11-04 12:15:35.132960,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2476293220,361118678
2024-11-04 12:15:35.133654,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2476293221,361118678
2024-11-04 12:15:35.138232,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,361118683,2476293221
2024-11-04 12:15:35.138617,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2476293226,361118683
2024-11-04 12:15:35.145020,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,361118690,2476293226
2024-11-04 12:15:35.187369,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,1609,2476293274,361118690
2024-11-04 12:15:35.207392,74,10.5.1.30,39734,66.254.114.238,80,TCP,0,0,238220590,0
2024-11-04 12:15:35.244475,74,66.254.114.238,80,10.5.1.30,39734,TCP,0,1,2111916023,238219571
2024-11-04 12:15:35.244780,66,10.5.1.30,39734,66.254.114.238,80,TCP,1,1,238220628,2111916023
2024-11-04 12:15:35.244931,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2444378603,3004790789
2024-11-04 12:15:35.248522,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3004791850,2444378603
2024-11-04 12:15:35.248791,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2444378607,3004791850
2024-11-04 12:15:35.249012,141,10.5.1.30,39734,66.254.114.238,80,TCP,1,1,238220632,2111916023
2024-11-04 12:15:35.286960,155,66.254.114.238,80,10.5.1.30,39734,TCP,1,76,2111916066,238220632
2024-11-04 12:15:35.288593,66,10.5.1.30,39734,66.254.114.238,80,TCP,76,90,238220671,2111916066
2024-11-04 12:15:35.289875,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2444378648,3004791850
2024-11-04 12:15:35.301950,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3004791904,2444378648
2024-11-04 12:15:35.303049,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1609,2444378661,3004791904
2024-11-04 12:15:35.303452,66,10.5.1.30,39734,66.254.114.238,80,TCP,76,90,238220686,2111916066
2024-11-04 12:15:35.339629,66,66.254.114.238,80,10.5.1.30,39734,TCP,90,77,2111916118,238220686
2024-11-04 12:15:35.339865,66,10.5.1.30,39734,66.254.114.238,80,TCP,77,91,238220723,2111916118
2024-11-04 12:15:38.288150,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1,1,1996385769,3729145678
2024-11-04 12:15:38.288359,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4286437238,585563917
2024-11-04 12:15:38.288456,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3729174665,1996385769
2024-11-04 12:15:38.288529,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,585582478,4286437238
2024-11-04 12:15:38.293282,602,10.5.1.20,43840,10.5.1.30,9001,TCP,537,1,1996385774,3729174665
2024-11-04 12:15:38.293589,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,1073,3729174671,1996385774
2024-11-04 12:15:38.293932,602,10.5.1.30,9001,10.5.1.20,43840,TCP,1,1073,3729174671,1996385774
2024-11-04 12:15:38.294516,1116,10.5.1.21,39736,10.5.1.30,9001,TCP,537,1,4286437244,585582478
2024-11-04 12:15:38.294684,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1587,585582484,4286437244
2024-11-04 12:15:38.297524,1116,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1587,585582486,4286437244
2024-11-04 12:15:38.301387,1630,10.5.1.21,39736,10.5.1.30,9001,TCP,1587,1051,4286437251,585582486
2024-11-04 12:15:38.301757,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1051,3151,585582491,4286437251
2024-11-04 12:15:38.301780,1116,10.5.1.20,43840,10.5.1.30,9001,TCP,1073,537,1996385783,3729174671
2024-11-04 12:15:38.302014,1116,10.5.1.30,9001,10.5.1.21,39736,TCP,1051,3151,585582491,4286437251
2024-11-04 12:15:38.304803,1116,10.5.1.30,9001,10.5.1.20,43840,TCP,537,2123,3729174682,1996385783
2024-11-04 12:15:38.307575,602,10.5.1.20,43840,10.5.1.30,9001,TCP,2123,1587,1996385789,3729174682
2024-11-04 12:15:38.307887,602,10.5.1.30,9001,10.5.1.20,43840,TCP,1587,2659,3729174685,1996385789
2024-11-04 12:15:38.308608,1116,10.5.1.21,39736,10.5.1.30,9001,TCP,3151,2101,4286437259,585582491
2024-11-04 12:15:38.308844,602,10.5.1.30,9001,10.5.1.21,39736,TCP,2101,4201,585582498,4286437259
2024-11-04 12:15:38.314590,1116,10.5.1.20,43840,10.5.1.30,9001,TCP,2659,2123,1996385796,3729174685
2024-11-04 12:15:38.315005,1116,10.5.1.30,9001,10.5.1.20,43840,TCP,2123,3709,3729174692,1996385796
2024-11-04 12:15:38.315087,602,10.5.1.21,39736,10.5.1.30,9001,TCP,4201,2637,4286437265,585582498
2024-11-04 12:15:38.317394,602,10.5.1.30,9001,10.5.1.21,39736,TCP,2637,4737,585582506,4286437265
2024-11-04 12:15:38.321010,602,10.5.1.21,39736,10.5.1.30,9001,TCP,4737,3173,4286437271,585582506
2024-11-04 12:15:38.321691,602,10.5.1.20,43840,10.5.1.30,9001,TCP,3709,3173,1996385803,3729174692
2024-11-04 12:15:38.364035,66,10.5.1.30,9001,10.5.1.21,39736,TCP,3173,5273,585582553,4286437271
2024-11-04 12:15:38.364039,66,10.5.1.30,9001,10.5.1.20,43840,TCP,3173,4245,3729174741,1996385803
2024-11-04 12:15:38.364422,1116,10.5.1.20,43840,10.5.1.30,9001,TCP,4245,3173,1996385845,3729174741
2024-11-04 12:15:38.364549,66,10.5.1.30,9001,10.5.1.20,43840,TCP,3173,5295,3729174742,1996385845
2024-11-04 12:15:40.129088,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,1073,361123674,2476293274
2024-11-04 12:15:40.129357,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,2145,2476298216,361123674
2024-11-04 12:15:40.260406,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3133863494,3960884923
2024-11-04 12:15:40.260449,602,10.5.1.20,43840,10.5.1.30,9001,TCP,5295,3173,1996387741,3729174742
2024-11-04 12:15:40.260664,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960915870,3133863494
2024-11-04 12:15:40.260665,66,10.5.1.30,9001,10.5.1.20,43840,TCP,3173,5831,3729176638,1996387741
2024-11-04 12:15:40.268052,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1609,1073,3004796870,2444378661
2024-11-04 12:15:40.268272,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,2145,2444383626,3004796870
2024-11-04 12:15:40.274690,1630,10.5.1.12,57406,10.5.1.30,9001,TCP,2145,1073,3004796877,2444383626
2024-11-04 12:15:40.274843,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,3709,2444383633,3004796877
2024-11-04 12:15:40.275194,1116,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,3709,2444383633,3004796877
2024-11-04 12:15:40.278457,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,1073,361123823,2476298216
2024-11-04 12:15:40.278825,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,2681,2476298366,361123823
2024-11-04 12:15:40.279224,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,2681,2476298366,361123823
2024-11-04 12:15:40.304259,602,10.5.1.20,43840,10.5.1.30,9001,TCP,5831,3173,1996387785,3729176638
2024-11-04 12:15:40.304539,66,10.5.1.30,9001,10.5.1.20,43840,TCP,3173,6367,3729176682,1996387785
2024-11-04 12:15:40.317389,66,10.5.1.12,57406,10.5.1.30,9001,TCP,3709,2123,3004796919,2444383633
2024-11-04 12:15:40.320717,66,10.5.1.10,33616,10.5.1.30,9001,TCP,2681,1609,361123866,2476298366
2024-11-04 12:15:40.321609,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2681,1609,361123867,2476298366
