Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:53:57.642110,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844819331,3521668168
2024-11-04 18:53:57.642698,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521670138,1844819331
2024-11-04 18:53:57.643093,74,10.5.1.30,58254,104.17.33.105,80,TCP,0,0,1751318394,0
2024-11-04 18:53:57.669522,74,104.17.33.105,80,10.5.1.30,58254,TCP,0,1,3894640506,1751318394
2024-11-04 18:53:57.670007,66,10.5.1.30,58254,104.17.33.105,80,TCP,1,1,1751318421,3894640506
2024-11-04 18:53:57.670200,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521670166,1844819331
2024-11-04 18:53:57.673553,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1844819362,3521670166
2024-11-04 18:53:57.674121,146,10.5.1.30,58254,104.17.33.105,80,TCP,1,1,1751318425,3894640506
2024-11-04 18:53:57.706970,66,104.17.33.105,80,10.5.1.30,58254,TCP,1,81,3894640543,1751318425
2024-11-04 18:53:57.715867,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3521670212,1844819362
2024-11-04 18:53:57.729684,816,104.17.33.105,80,10.5.1.30,58254,TCP,1,81,3894640566,1751318425
2024-11-04 18:53:57.730139,66,10.5.1.30,58254,104.17.33.105,80,TCP,81,751,1751318481,3894640566
2024-11-04 18:53:57.730426,1116,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3521670226,1844819362
2024-11-04 18:53:57.734067,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1587,1844819423,3521670226
2024-11-04 18:53:57.734911,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1587,1609,3521670231,1844819423
2024-11-04 18:53:57.735430,66,10.5.1.30,58254,104.17.33.105,80,TCP,81,751,1751318486,3894640566
2024-11-04 18:53:57.766870,66,104.17.33.105,80,10.5.1.30,58254,TCP,751,82,3894640601,1751318486
2024-11-04 18:53:57.767244,66,10.5.1.30,58254,104.17.33.105,80,TCP,82,752,1751318518,3894640601
2024-11-04 18:53:59.375119,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3030177282,138257264
2024-11-04 18:53:59.375640,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1051,138261046,3030177282
2024-11-04 18:53:59.376234,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1051,138261047,3030177282
2024-11-04 18:53:59.376523,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1051,537,3030177283,138261047
2024-11-04 18:53:59.377121,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1051,537,3030177284,138261047
