Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:37:04.526628,602,10.5.1.10,50846,10.5.1.30,9001,TCP,1,1,2395941345,2131033816
2024-10-31 11:37:04.526696,66,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2131044181,2395941345
2024-10-31 11:37:04.526805,74,10.5.1.30,34024,155.46.172.255,80,TCP,0,0,2667435855,0
2024-10-31 11:37:04.675428,74,155.46.172.255,80,10.5.1.30,34024,TCP,0,1,3794171854,2667435855
2024-10-31 11:37:04.675603,66,10.5.1.30,34024,155.46.172.255,80,TCP,1,1,2667436004,3794171854
2024-10-31 11:37:04.675776,602,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2131044330,2395941345
2024-10-31 11:37:04.683050,602,10.5.1.10,50846,10.5.1.30,9001,TCP,537,537,2395941501,2131044330
2024-10-31 11:37:04.683277,66,10.5.1.30,9001,10.5.1.10,50846,TCP,537,1073,2131044337,2395941501
2024-10-31 11:37:04.683436,141,10.5.1.30,34024,155.46.172.255,80,TCP,1,1,2667436011,3794171854
2024-10-31 11:37:04.830779,193,155.46.172.255,80,10.5.1.30,34024,TCP,1,76,3794172009,2667436011
2024-10-31 11:37:04.831677,66,10.5.1.30,34024,155.46.172.255,80,TCP,76,128,2667436160,3794172009
2024-10-31 11:37:04.834091,602,10.5.1.30,9001,10.5.1.10,50846,TCP,537,1073,2131044488,2395941501
2024-10-31 11:37:04.836787,602,10.5.1.10,50846,10.5.1.30,9001,TCP,1073,1073,2395941655,2131044488
2024-10-31 11:37:04.836983,66,10.5.1.30,9001,10.5.1.10,50846,TCP,1073,1609,2131044491,2395941655
