Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:24:33.567582,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132895238,3024810740
2024-11-04 17:24:33.567633,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024811474,132895238
2024-11-04 17:24:33.567737,74,10.5.1.30,37120,155.46.172.255,80,TCP,0,0,2067391402,0
2024-11-04 17:24:33.727181,74,155.46.172.255,80,10.5.1.30,37120,TCP,0,1,4160620895,2067391402
2024-11-04 17:24:33.727247,66,10.5.1.30,37120,155.46.172.255,80,TCP,1,1,2067391562,4160620895
2024-11-04 17:24:33.727395,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024811634,132895238
2024-11-04 17:24:33.730495,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132895401,3024811634
2024-11-04 17:24:33.730547,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024811637,132895401
2024-11-04 17:24:33.730641,141,10.5.1.30,37120,155.46.172.255,80,TCP,1,1,2067391565,4160620895
2024-11-04 17:24:33.738154,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024811645,132895401
2024-11-04 17:24:33.738877,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,132895410,3024811645
2024-11-04 17:24:33.739589,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3024811646,132895410
2024-11-04 17:24:33.743704,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1609,132895414,3024811646
2024-11-04 17:24:33.744406,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,2145,3024811651,132895414
2024-11-04 17:24:33.746812,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,2145,132895418,3024811651
2024-11-04 17:24:33.793056,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2145,2681,3024811700,132895418
2024-11-04 17:24:33.804043,1116,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3444568368,4087292538
2024-11-04 17:24:33.804144,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1051,4087292972,3444568368
2024-11-04 17:24:33.804803,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1051,4087292973,3444568368
2024-11-04 17:24:33.810131,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1051,537,3444568374,4087292973
2024-11-04 17:24:33.810229,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1587,4087292978,3444568374
2024-11-04 17:24:33.853100,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1587,1073,3444568417,4087292978
2024-11-04 17:24:33.853560,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1587,1073,3444568417,4087292978
2024-11-04 17:24:33.883834,193,155.46.172.255,80,10.5.1.30,37120,TCP,1,76,4160621055,2067391565
2024-11-04 17:24:33.883903,66,10.5.1.30,37120,155.46.172.255,80,TCP,76,128,2067391719,4160621055
2024-11-04 17:24:33.884056,602,10.5.1.30,9001,10.5.1.11,42168,TCP,2145,2681,3024811791,132895418
2024-11-04 17:24:33.886668,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2681,2681,132895557,3024811791
2024-11-04 17:24:33.886741,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2681,3217,3024811793,132895557
2024-11-04 17:24:33.886855,66,10.5.1.30,37120,155.46.172.255,80,TCP,76,128,2067391722,4160621055
2024-11-04 17:24:33.896399,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,2123,4087293064,3444568417
2024-11-04 17:24:34.036129,66,155.46.172.255,80,10.5.1.30,37120,TCP,128,77,4160621210,2067391722
2024-11-04 17:24:34.041107,66,155.46.172.255,80,10.5.1.30,37120,TCP,128,77,4160621210,2067391722
2024-11-04 17:24:34.041155,66,10.5.1.30,37120,155.46.172.255,80,TCP,77,129,2067391876,4160621210
2024-11-04 17:24:34.738208,602,10.5.1.30,9001,10.5.1.11,42168,TCP,2681,3217,3024812645,132895557
2024-11-04 17:24:34.738995,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3217,3217,132896410,3024812645
2024-11-04 17:24:34.739035,66,10.5.1.30,9001,10.5.1.11,42168,TCP,3217,3753,3024812646,132896410
2024-11-04 17:24:34.739608,602,10.5.1.30,9001,10.5.1.11,42168,TCP,3217,3753,3024812646,132896410
2024-11-04 17:24:34.743762,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3753,3753,132896414,3024812646
2024-11-04 17:24:34.744402,602,10.5.1.30,9001,10.5.1.11,42168,TCP,3753,4289,3024812651,132896414
