Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:04:12.532690,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,138874203,3030780112
2024-11-04 19:04:12.533096,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3030790440,138874203
2024-11-04 19:04:12.533376,74,10.5.1.30,50812,194.190.139.47,80,TCP,0,0,596194830,0
2024-11-04 19:04:12.583669,74,194.190.139.47,80,10.5.1.30,50812,TCP,0,1,789653688,596194830
2024-11-04 19:04:12.584099,66,10.5.1.30,50812,194.190.139.47,80,TCP,1,1,596194881,789653688
2024-11-04 19:04:12.584238,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3030790491,138874203
2024-11-04 19:04:12.589844,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2195528778,2659273549
2024-11-04 19:04:12.590379,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2659302277,2195528778
2024-11-04 19:04:12.590455,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1845434279,3522256825
2024-11-04 19:04:12.590530,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,179121003,2857790960
2024-11-04 19:04:12.590615,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3450547154,4093243494
2024-11-04 19:04:12.590813,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3522285087,1845434279
2024-11-04 19:04:12.591011,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4093271759,3450547154
2024-11-04 19:04:12.592746,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,138874263,3030790491
2024-11-04 19:04:12.593286,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3030790500,138874263
2024-11-04 19:04:12.593680,136,10.5.1.30,50812,194.190.139.47,80,TCP,1,1,596194890,789653688
2024-11-04 19:04:12.603348,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1845434292,3522285087
2024-11-04 19:04:12.603452,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2224781594,3155814688
2024-11-04 19:04:12.603706,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3522285099,1845434292
2024-11-04 19:04:12.603871,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3155842972,2224781594
2024-11-04 19:04:12.604479,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3522285100,1845434292
2024-11-04 19:04:12.605396,1116,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3450547169,4093271759
2024-11-04 19:04:12.605719,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1587,4093271773,3450547169
