Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:19:54.171683,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132615842,3024521748
2024-11-04 17:19:54.171707,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024532078,132615842
2024-11-04 17:19:54.171852,74,10.5.1.30,42388,172.67.182.196,80,TCP,0,0,2668421501,0
2024-11-04 17:19:54.214198,74,172.67.182.196,80,10.5.1.30,42388,TCP,0,1,599372827,2668421501
2024-11-04 17:19:54.214234,66,10.5.1.30,42388,172.67.182.196,80,TCP,1,1,2668421543,599372827
2024-11-04 17:19:54.214339,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024532121,132615842
2024-11-04 17:19:54.217009,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132615888,3024532121
2024-11-04 17:19:54.217029,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024532124,132615888
2024-11-04 17:19:54.217074,143,10.5.1.30,42388,172.67.182.196,80,TCP,1,1,2668421546,599372827
2024-11-04 17:19:54.259014,66,172.67.182.196,80,10.5.1.30,42388,TCP,1,78,599372872,2668421546
2024-11-04 17:19:54.282374,1047,172.67.182.196,80,10.5.1.30,42388,TCP,1,78,599372891,2668421546
2024-11-04 17:19:54.282417,66,10.5.1.30,42388,172.67.182.196,80,TCP,78,982,2668421611,599372891
