Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:09:28.211164,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,183036624,2861728551
2024-11-04 20:09:28.211931,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861734845,183036624
2024-11-04 20:09:28.212339,74,10.5.1.30,52454,52.68.206.211,80,TCP,0,0,1827206549,0
2024-11-04 20:09:28.565761,74,52.68.206.211,80,10.5.1.30,52454,TCP,0,1,3826309343,1827206549
2024-11-04 20:09:28.566748,66,10.5.1.30,52454,52.68.206.211,80,TCP,1,1,1827206903,3826309343
2024-11-04 20:09:28.566891,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861735200,183036624
2024-11-04 20:09:28.572777,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,183036985,2861735200
2024-11-04 20:09:28.573651,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861735206,183036985
2024-11-04 20:09:28.574447,140,10.5.1.30,52454,52.68.206.211,80,TCP,1,1,1827206911,3826309343
2024-11-04 20:09:28.933171,66,52.68.206.211,80,10.5.1.30,52454,TCP,1,75,3826309705,1827206911
2024-11-04 20:09:28.933887,403,52.68.206.211,80,10.5.1.30,52454,TCP,1,75,3826309706,1827206911
2024-11-04 20:09:28.934244,66,10.5.1.30,52454,52.68.206.211,80,TCP,75,338,1827207271,3826309706
2024-11-04 20:09:28.934620,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861735567,183036985
