Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:31:22.956802,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140504627,3032410344
2024-11-04 19:31:22.957625,74,10.5.1.30,54394,151.101.1.52,80,TCP,0,0,4247287933,0
2024-11-04 19:31:22.993382,74,151.101.1.52,80,10.5.1.30,54394,TCP,0,1,3965399440,4247287933
2024-11-04 19:31:22.993856,66,10.5.1.30,54394,151.101.1.52,80,TCP,1,1,4247287970,3965399440
2024-11-04 19:31:22.993900,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032420901,140504627
2024-11-04 19:31:22.994215,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140504665,3032420901
2024-11-04 19:31:22.999552,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140504670,3032420901
2024-11-04 19:31:23.000070,142,10.5.1.30,54394,151.101.1.52,80,TCP,1,1,4247287976,3965399440
2024-11-04 19:31:23.035753,66,151.101.1.52,80,10.5.1.30,54394,TCP,1,77,3965399485,4247287976
2024-11-04 19:31:23.036241,685,151.101.1.52,80,10.5.1.30,54394,TCP,1,77,3965399485,4247287976
2024-11-04 19:31:23.036722,66,10.5.1.30,54394,151.101.1.52,80,TCP,77,620,4247288012,3965399485
2024-11-04 19:31:23.037085,66,151.101.1.52,80,10.5.1.30,54394,TCP,620,77,3965399486,4247287976
