Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:15:52.454854,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139574126,3031479941
2024-11-04 19:15:52.455534,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031490362,139574126
2024-11-04 19:15:52.456558,74,10.5.1.30,42216,162.159.137.70,80,TCP,0,0,841393868,0
2024-11-04 19:15:52.485841,74,162.159.137.70,80,10.5.1.30,42216,TCP,0,1,3239656568,841393868
2024-11-04 19:15:52.486586,66,10.5.1.30,42216,162.159.137.70,80,TCP,1,1,841393898,3239656568
2024-11-04 19:15:52.486757,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031490393,139574126
2024-11-04 19:15:52.487332,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139574158,3031490393
2024-11-04 19:15:52.489950,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139574161,3031490393
2024-11-04 19:15:52.490287,147,10.5.1.30,42216,162.159.137.70,80,TCP,1,1,841393902,3239656568
2024-11-04 19:15:52.515600,66,162.159.137.70,80,10.5.1.30,42216,TCP,1,82,3239656600,841393902
2024-11-04 19:15:52.532416,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031490439,139574161
2024-11-04 19:15:52.663601,1494,162.159.137.70,80,10.5.1.30,42216,TCP,1,82,3239656745,841393902
2024-11-04 19:15:52.664163,66,10.5.1.30,42216,162.159.137.70,80,TCP,82,1429,841394076,3239656745
2024-11-04 19:15:52.664390,2922,162.159.137.70,80,10.5.1.30,42216,TCP,1429,82,3239656745,841393902
2024-11-04 19:15:52.664455,1630,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031490571,139574161
2024-11-04 19:15:52.664927,66,10.5.1.30,42216,162.159.137.70,80,TCP,82,4285,841394077,3239656745
2024-11-04 19:15:52.665198,1494,162.159.137.70,80,10.5.1.30,42216,TCP,9997,82,3239656745,841393902
2024-11-04 19:15:52.665312,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,2101,139574336,3031490571
2024-11-04 19:15:52.665621,78,10.5.1.30,42216,162.159.137.70,80,TCP,82,4285,841394077,3239656745
2024-11-04 19:15:52.665841,1494,162.159.137.70,80,10.5.1.30,42216,TCP,21421,82,3239656745,841393902
2024-11-04 19:15:52.666263,86,10.5.1.30,42216,162.159.137.70,80,TCP,82,4285,841394078,3239656745
2024-11-04 19:15:52.666361,3172,10.5.1.30,9001,10.5.1.11,42168,TCP,2101,1073,3031490573,139574336
2024-11-04 19:15:52.666586,5778,162.159.137.70,80,10.5.1.30,42216,TCP,4285,82,3239656745,841393902
2024-11-04 19:15:52.667196,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,5207,139574338,3031490573
2024-11-04 19:15:52.667727,78,10.5.1.30,42216,162.159.137.70,80,TCP,82,11425,841394079,3239656745
