Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:02:16.959260,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848918648,3525760598
2024-11-04 20:02:16.960020,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3454031524,4096746330
2024-11-04 20:02:16.960165,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3525769456,1848918648
2024-11-04 20:02:16.960474,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096756128,3454031524
2024-11-04 20:02:16.960640,74,10.5.1.30,36788,209.50.54.189,80,TCP,0,0,3042976727,0
2024-11-04 20:02:17.103293,74,209.50.54.189,80,10.5.1.30,36788,TCP,0,1,2778520842,3042976727
2024-11-04 20:02:17.104401,66,10.5.1.30,36788,209.50.54.189,80,TCP,1,1,3042976871,2778520842
2024-11-04 20:02:17.104668,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3525769600,1848918648
2024-11-04 20:02:17.109415,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1848918798,3525769600
2024-11-04 20:02:17.109973,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3525769606,1848918798
2024-11-04 20:02:17.110419,137,10.5.1.30,36788,209.50.54.189,80,TCP,1,1,3042976877,2778520842
2024-11-04 20:02:17.260439,66,209.50.54.189,80,10.5.1.30,36788,TCP,1,72,2778520992,3042976877
2024-11-04 20:02:17.280387,212,209.50.54.189,80,10.5.1.30,36788,TCP,1,72,2778520992,3042976877
2024-11-04 20:02:17.281099,66,10.5.1.30,36788,209.50.54.189,80,TCP,72,147,3042977048,2778520992
