Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:26:28.478396,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,173256891,2851945534
2024-11-04 17:26:28.478551,74,10.5.1.30,32938,35.154.167.28,80,TCP,0,0,2365327126,0
2024-11-04 17:26:28.519718,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2851955152,173256891
2024-11-04 17:26:28.621368,74,35.154.167.28,80,10.5.1.30,32938,TCP,0,1,3180908643,2365327126
2024-11-04 17:26:28.621443,66,10.5.1.30,32938,35.154.167.28,80,TCP,1,1,2365327269,3180908643
2024-11-04 17:26:28.621582,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2851955254,173256891
2024-11-04 17:26:28.621631,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173257034,2851955254
2024-11-04 17:26:28.623418,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173257036,2851955254
2024-11-04 17:26:28.623490,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2851955256,173257036
2024-11-04 17:26:28.623557,143,10.5.1.30,32938,35.154.167.28,80,TCP,1,1,2365327271,3180908643
2024-11-04 17:26:28.771408,66,35.154.167.28,80,10.5.1.30,32938,TCP,1,78,3180908790,2365327271
2024-11-04 17:26:28.771480,403,35.154.167.28,80,10.5.1.30,32938,TCP,1,78,3180908791,2365327271
2024-11-04 17:26:28.771508,66,10.5.1.30,32938,35.154.167.28,80,TCP,78,338,2365327419,3180908791
2024-11-04 17:26:28.771617,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2851955404,173257036
