Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:06:33.559647,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,182861972,2861549868
2024-11-04 20:06:33.560406,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861560193,182861972
2024-11-04 20:06:33.560783,74,10.5.1.30,43614,90.216.128.5,80,TCP,0,0,1368007757,0
2024-11-04 20:06:33.610532,74,90.216.128.5,80,10.5.1.30,43614,TCP,0,1,4170341967,1368007757
2024-11-04 20:06:33.611217,66,10.5.1.30,43614,90.216.128.5,80,TCP,1,1,1368007808,4170341967
2024-11-04 20:06:33.611330,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861560244,182861972
2024-11-04 20:06:33.616522,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,182862029,2861560244
2024-11-04 20:06:33.616902,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861560250,182862029
2024-11-04 20:06:33.617203,137,10.5.1.30,43614,90.216.128.5,80,TCP,1,1,1368007814,4170341967
2024-11-04 20:06:33.675516,66,90.216.128.5,80,10.5.1.30,43614,TCP,1,72,4170342027,1368007814
2024-11-04 20:06:33.683052,443,90.216.128.5,80,10.5.1.30,43614,TCP,1,72,4170342028,1368007814
2024-11-04 20:06:33.683775,66,10.5.1.30,43614,90.216.128.5,80,TCP,72,378,1368007880,4170342028
2024-11-04 20:06:33.684467,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861560317,182862029
2024-11-04 20:06:33.688611,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1073,182862101,2861560317
2024-11-04 20:06:33.689387,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1609,2861560322,182862101
2024-11-04 20:06:33.690312,66,10.5.1.30,43614,90.216.128.5,80,TCP,72,378,1368007887,4170342028
2024-11-04 20:06:33.756024,66,90.216.128.5,80,10.5.1.30,43614,TCP,378,73,4170342104,1368007887
2024-11-04 20:06:33.765590,66,90.216.128.5,80,10.5.1.30,43614,TCP,378,73,4170342104,1368007887
2024-11-04 20:06:33.766089,66,10.5.1.30,43614,90.216.128.5,80,TCP,73,379,1368007963,4170342104
2024-11-04 20:06:34.411935,74,10.5.1.30,40580,10.5.1.10,80,TCP,0,0,4097013580,0
2024-11-04 20:06:34.412898,74,10.5.1.10,80,10.5.1.30,40580,TCP,0,1,3454288977,4097013580
2024-11-04 20:06:34.413467,66,10.5.1.30,40580,10.5.1.10,80,TCP,1,1,4097013581,3454288977
2024-11-04 20:06:34.414080,361,10.5.1.30,40580,10.5.1.10,80,TCP,1,1,4097013582,3454288977
2024-11-04 20:06:34.414694,66,10.5.1.10,80,10.5.1.30,40580,TCP,1,296,3454288978,4097013582
2024-11-04 20:06:34.414727,132,10.5.1.10,80,10.5.1.30,40580,TCP,1,296,3454288978,4097013582
2024-11-04 20:06:34.415054,66,10.5.1.10,80,10.5.1.30,40580,TCP,67,296,3454288979,4097013582
2024-11-04 20:06:34.415248,66,10.5.1.30,40580,10.5.1.10,80,TCP,296,67,4097013583,3454288978
2024-11-04 20:06:34.415868,66,10.5.1.30,40580,10.5.1.10,80,TCP,296,68,4097013584,3454288979
2024-11-04 20:06:34.416432,66,10.5.1.10,80,10.5.1.30,40580,TCP,68,297,3454288980,4097013584
2024-11-04 20:06:39.416550,74,10.5.1.30,35554,10.5.1.12,80,TCP,0,0,2861566049,0
2024-11-04 20:06:39.417596,74,10.5.1.12,80,10.5.1.30,35554,TCP,0,1,182867830,2861566049
2024-11-04 20:06:39.418249,66,10.5.1.30,35554,10.5.1.12,80,TCP,1,1,2861566051,182867830
2024-11-04 20:06:39.418999,361,10.5.1.30,35554,10.5.1.12,80,TCP,1,1,2861566052,182867830
2024-11-04 20:06:39.419741,66,10.5.1.12,80,10.5.1.30,35554,TCP,1,296,182867832,2861566052
2024-11-04 20:06:39.419838,132,10.5.1.12,80,10.5.1.30,35554,TCP,1,296,182867833,2861566052
2024-11-04 20:06:39.420590,66,10.5.1.30,35554,10.5.1.12,80,TCP,296,67,2861566053,182867833
2024-11-04 20:06:39.421276,66,10.5.1.12,80,10.5.1.30,35554,TCP,67,296,182867834,2861566053
2024-11-04 20:06:39.421996,66,10.5.1.30,35554,10.5.1.12,80,TCP,296,68,2861566055,182867834
2024-11-04 20:06:39.422688,66,10.5.1.12,80,10.5.1.30,35554,TCP,68,297,182867835,2861566055
2024-11-04 20:06:41.419560,74,10.5.1.30,47866,10.5.1.11,80,TCP,0,0,3034539326,0
2024-11-04 20:06:41.420599,74,10.5.1.11,80,10.5.1.30,47866,TCP,0,1,142623091,3034539326
2024-11-04 20:06:41.421201,66,10.5.1.30,47866,10.5.1.11,80,TCP,1,1,3034539328,142623091
2024-11-04 20:06:41.421906,361,10.5.1.30,47866,10.5.1.11,80,TCP,1,1,3034539329,142623091
2024-11-04 20:06:41.422651,66,10.5.1.11,80,10.5.1.30,47866,TCP,1,296,142623093,3034539329
2024-11-04 20:06:41.422749,132,10.5.1.11,80,10.5.1.30,47866,TCP,1,296,142623093,3034539329
2024-11-04 20:06:41.423484,66,10.5.1.30,47866,10.5.1.11,80,TCP,296,67,3034539330,142623093
2024-11-04 20:06:41.424208,66,10.5.1.11,80,10.5.1.30,47866,TCP,67,296,142623095,3034539330
2024-11-04 20:06:41.424846,66,10.5.1.30,47866,10.5.1.11,80,TCP,296,68,3034539332,142623095
2024-11-04 20:06:41.425608,66,10.5.1.11,80,10.5.1.30,47866,TCP,68,297,142623096,3034539332
2024-11-04 20:06:43.397440,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2199279585,2663026142
2024-11-04 20:06:43.397458,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,142625068,3034513353
2024-11-04 20:06:43.397494,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1849185086,3526008201
2024-11-04 20:06:43.397707,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2228532388,3159566817
2024-11-04 20:06:43.398565,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3159593766,2228532388
2024-11-04 20:06:43.398565,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2663053085,2199279585
2024-11-04 20:06:43.398937,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3526035895,1849185086
2024-11-04 20:06:43.406073,1514,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,142625077,3034513353
2024-11-04 20:06:43.406156,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2228532397,3159593766
2024-11-04 20:06:43.406728,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1985,3034541313,142625068
2024-11-04 20:06:43.406729,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3159593774,2228532397
