Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:38:30.045741,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1840291734,3517140643
2024-11-04 17:38:30.045825,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,133731717,3025647327
2024-11-04 17:38:30.045905,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517142542,1840291734
2024-11-04 17:38:30.045974,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3025647953,133731717
2024-11-04 17:38:30.046048,74,10.5.1.30,41602,3.68.124.95,80,TCP,0,0,3320562699,0
2024-11-04 17:38:30.084734,74,3.68.124.95,80,10.5.1.30,41602,TCP,0,1,2521600205,3320562699
2024-11-04 17:38:30.084811,66,10.5.1.30,41602,3.68.124.95,80,TCP,1,1,3320562738,2521600205
2024-11-04 17:38:30.084868,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517142581,1840291734
2024-11-04 17:38:30.084952,66,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1840291774,3517142581
2024-11-04 17:38:30.086780,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1840291775,3517142581
2024-11-04 17:38:30.086904,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517142583,1840291775
2024-11-04 17:38:30.086980,139,10.5.1.30,41602,3.68.124.95,80,TCP,1,1,3320562740,2521600205
2024-11-04 17:38:30.121628,66,3.68.124.95,80,10.5.1.30,41602,TCP,1,74,2521600244,3320562740
2024-11-04 17:38:30.121720,395,3.68.124.95,80,10.5.1.30,41602,TCP,1,74,2521600244,3320562740
2024-11-04 17:38:30.121773,66,10.5.1.30,41602,3.68.124.95,80,TCP,74,330,3320562774,2521600244
