Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:49:18.632914,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,137980304,3029896539
2024-11-04 18:49:18.632961,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844540322,3521391127
2024-11-04 18:49:18.632992,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,178227046,2856925263
2024-11-04 18:49:18.633128,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3449653197,4092377796
2024-11-04 18:49:18.633266,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3029896540,137980304
2024-11-04 18:49:18.633330,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2856925266,178227046
2024-11-04 18:49:18.633331,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521391129,1844540322
2024-11-04 18:49:18.633489,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4092377801,3449653197
2024-11-04 18:49:18.634056,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,137980305,3029896540
2024-11-04 18:49:18.634101,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2194634822,2658408318
2024-11-04 18:49:18.634138,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1844540323,3521391129
2024-11-04 18:49:18.634430,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3029896541,137980305
2024-11-04 18:49:18.634430,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2658408321,2194634822
2024-11-04 18:49:18.634513,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3521391130,1844540323
2024-11-04 18:49:18.634938,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,1,2194634823,2658408321
2024-11-04 18:49:18.634948,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1,1844540324,3521391130
2024-11-04 18:49:18.635256,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1609,3521391131,1844540324
2024-11-04 18:49:18.635256,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2658408322,2194634823
2024-11-04 18:49:18.635863,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1,137980307,3029896541
2024-11-04 18:49:18.635940,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1,1844540325,3521391131
2024-11-04 18:49:18.635946,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,178227049,2856925266
2024-11-04 18:49:18.636280,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1609,3029896543,137980307
2024-11-04 18:49:18.636407,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2145,3521391132,1844540325
2024-11-04 18:49:18.636408,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2856925269,178227049
2024-11-04 18:49:18.637361,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1,137980308,3029896543
2024-11-04 18:49:18.637470,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,1,2194634825,2658408322
2024-11-04 18:49:18.637531,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3449653201,4092377801
2024-11-04 18:49:18.637876,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1609,2658408325,2194634825
2024-11-04 18:49:18.637903,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,2145,3029896545,137980308
