Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:02:37.969761,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360341515,2475505437
2024-11-04 12:02:37.970002,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475516057,360341515
2024-11-04 12:02:37.970263,74,10.5.1.30,50864,43.153.249.87,80,TCP,0,0,3485056429,0
2024-11-04 12:02:38.147277,66,43.153.249.87,80,10.5.1.30,50864,TCP,0,1,,
2024-11-04 12:02:38.147448,54,10.5.1.30,50864,43.153.249.87,80,TCP,1,1,,
2024-11-04 12:02:38.147608,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475516235,360341515
2024-11-04 12:02:38.151401,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360341696,2475516235
2024-11-04 12:02:38.151564,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475516239,360341696
2024-11-04 12:02:38.151758,127,10.5.1.30,50864,43.153.249.87,80,TCP,1,1,,
2024-11-04 12:02:38.322109,54,43.153.249.87,80,10.5.1.30,50864,TCP,1,74,,
2024-11-04 12:02:38.457660,1478,43.153.249.87,80,10.5.1.30,50864,TCP,1,74,,
2024-11-04 12:02:38.457901,54,10.5.1.30,50864,43.153.249.87,80,TCP,74,1425,,
2024-11-04 12:02:38.458045,2902,43.153.249.87,80,10.5.1.30,50864,TCP,1425,74,,
2024-11-04 12:02:38.458098,1630,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475516545,360341696
2024-11-04 12:02:38.458245,54,10.5.1.30,50864,43.153.249.87,80,TCP,74,4273,,
2024-11-04 12:02:38.458402,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,2101,360342003,2475516545
2024-11-04 12:02:38.460079,1478,43.153.249.87,80,10.5.1.30,50864,TCP,4273,74,,
2024-11-04 12:02:38.460266,54,10.5.1.30,50864,43.153.249.87,80,TCP,74,5697,,
2024-11-04 12:02:38.460386,2902,43.153.249.87,80,10.5.1.30,50864,TCP,5697,74,,
2024-11-04 12:02:38.460535,54,10.5.1.30,50864,43.153.249.87,80,TCP,74,8545,,
2024-11-04 12:02:38.460648,2902,43.153.249.87,80,10.5.1.30,50864,TCP,8545,74,,
2024-11-04 12:02:38.460871,54,10.5.1.30,50864,43.153.249.87,80,TCP,74,11393,,
2024-11-04 12:02:38.461013,2902,43.153.249.87,80,10.5.1.30,50864,TCP,11393,74,,
2024-11-04 12:02:38.461075,4136,10.5.1.30,9001,10.5.1.10,33616,TCP,2101,1073,2475516548,360342003
2024-11-04 12:02:38.461194,54,10.5.1.30,50864,43.153.249.87,80,TCP,74,14241,,
2024-11-04 12:02:38.461319,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,6171,360342006,2475516548
2024-11-04 12:02:38.461348,2962,10.5.1.30,9001,10.5.1.10,33616,TCP,6171,1073,2475516548,360342003
2024-11-04 12:02:38.461566,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,9067,360342007,2475516548
2024-11-04 12:02:38.461644,1240,10.5.1.30,9001,10.5.1.10,33616,TCP,9067,1073,2475516549,360342006
2024-11-04 12:02:38.461800,1514,10.5.1.30,9001,10.5.1.10,33616,TCP,10241,1073,2475516549,360342007
2024-11-04 12:02:38.461931,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,11689,360342007,2475516549
2024-11-04 12:02:38.461994,1338,10.5.1.30,9001,10.5.1.10,33616,TCP,11689,1073,2475516549,360342007
2024-11-04 12:02:38.464340,2962,10.5.1.30,9001,10.5.1.10,33616,TCP,12961,1073,2475516551,360342007
2024-11-04 12:02:38.464517,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,15857,360342009,2475516549
2024-11-04 12:02:38.464625,276,10.5.1.30,9001,10.5.1.10,33616,TCP,15857,1073,2475516552,360342009
2024-11-04 12:02:38.471792,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,16067,360342017,2475516552
2024-11-04 12:02:38.471928,66,10.5.1.30,9001,10.5.1.10,33616,TCP,16067,1609,2475516559,360342017
2024-11-04 12:02:38.627085,142,43.153.249.87,80,10.5.1.30,50864,TCP,14241,74,,
2024-11-04 12:02:38.627242,54,10.5.1.30,50864,43.153.249.87,80,TCP,74,14329,,
2024-11-04 12:02:38.627376,602,10.5.1.30,9001,10.5.1.10,33616,TCP,16067,1609,2475516714,360342017
2024-11-04 12:02:38.632089,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,16603,360342177,2475516714
2024-11-04 12:02:38.632324,66,10.5.1.30,9001,10.5.1.10,33616,TCP,16603,2145,2475516719,360342177
2024-11-04 12:02:38.632515,54,10.5.1.30,50864,43.153.249.87,80,TCP,74,14329,,
2024-11-04 12:02:38.802071,54,43.153.249.87,80,10.5.1.30,50864,TCP,14329,75,,
2024-11-04 12:02:38.802220,54,10.5.1.30,50864,43.153.249.87,80,TCP,75,14330,,
