Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:38:29.760109,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3452604324,4095320447
2024-11-04 19:38:29.760612,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095328928,3452604324
2024-11-04 19:38:29.761113,74,10.5.1.30,53788,104.22.8.35,80,TCP,0,0,3454311288,0
2024-11-04 19:38:29.804436,74,104.22.8.35,80,10.5.1.30,53788,TCP,0,1,692933995,3454311288
2024-11-04 19:38:29.805200,66,10.5.1.30,53788,104.22.8.35,80,TCP,1,1,3454311332,692933995
2024-11-04 19:38:29.805317,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095328973,3452604324
2024-11-04 19:38:29.809213,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3452604373,4095328973
2024-11-04 19:38:29.809899,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095328978,3452604373
2024-11-04 19:38:29.810330,142,10.5.1.30,53788,104.22.8.35,80,TCP,1,1,3454311337,692933995
2024-11-04 19:38:29.849473,66,104.22.8.35,80,10.5.1.30,53788,TCP,1,77,692934039,3454311337
2024-11-04 19:38:29.864704,529,104.22.8.35,80,10.5.1.30,53788,TCP,1,77,692934054,3454311337
2024-11-04 19:38:29.865197,66,10.5.1.30,53788,104.22.8.35,80,TCP,77,464,3454311392,692934054
2024-11-04 19:38:29.865703,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095329033,3452604373
