Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:39:52.031386,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362575576,2477724264
2024-11-04 12:39:52.031760,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477750119,362575576
2024-11-04 12:39:52.031974,74,10.5.1.30,39574,151.101.130.219,80,TCP,0,0,628123862,0
2024-11-04 12:39:52.057347,74,151.101.130.219,80,10.5.1.30,39574,TCP,0,1,2510357215,628123862
2024-11-04 12:39:52.057671,66,10.5.1.30,39574,151.101.130.219,80,TCP,1,1,628123888,2510357215
2024-11-04 12:39:52.057763,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477750145,362575576
2024-11-04 12:39:52.061058,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362575606,2477750145
2024-11-04 12:39:52.061402,143,10.5.1.30,39574,151.101.130.219,80,TCP,1,1,628123891,2510357215
2024-11-04 12:39:52.087283,66,151.101.130.219,80,10.5.1.30,39574,TCP,1,78,2510357245,628123891
2024-11-04 12:39:52.087636,403,151.101.130.219,80,10.5.1.30,39574,TCP,1,78,2510357245,628123891
2024-11-04 12:39:52.087787,66,10.5.1.30,39574,151.101.130.219,80,TCP,78,338,628123918,2510357245
2024-11-04 12:39:52.087899,66,151.101.130.219,80,10.5.1.30,39574,TCP,338,78,2510357245,628123891
2024-11-04 12:39:52.087993,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477750175,362575606
2024-11-04 12:39:52.088307,66,10.5.1.30,39574,151.101.130.219,80,TCP,78,339,628123918,2510357245
2024-11-04 12:39:52.090907,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,362575636,2477750175
2024-11-04 12:39:52.091561,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,1609,2477750179,362575636
2024-11-04 12:39:52.112291,66,151.101.130.219,80,10.5.1.30,39574,TCP,339,79,2510357270,628123918
2024-11-04 12:39:52.133931,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,1609,362575679,2477750179
2024-11-04 12:39:52.181203,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,1609,362575726,2477750179
2024-11-04 12:39:52.181810,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1609,2145,2477750269,362575726
2024-11-04 12:39:52.182103,66,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,2145,362575727,2477750269
2024-11-04 12:39:52.188142,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,2145,362575733,2477750269
2024-11-04 12:39:52.188402,602,10.5.1.30,9001,10.5.1.10,33616,TCP,2145,2681,2477750275,362575733
2024-11-04 12:39:52.194735,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2681,2681,362575740,2477750275
2024-11-04 12:39:52.237233,66,10.5.1.30,9001,10.5.1.10,33616,TCP,2681,3217,2477750324,362575740
2024-11-04 12:39:54.199996,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1186210333,1186722875
2024-11-04 12:39:54.200627,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1186750785,1186210333
2024-11-04 12:39:54.201172,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1186750785,1186210333
2024-11-04 12:39:54.204926,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3135317439,3962341554
2024-11-04 12:39:54.205708,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3962369815,3135317439
