Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:38:02.600460,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3448977164,4091692200
2024-11-04 18:38:02.600826,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091701769,3448977164
2024-11-04 18:38:02.601092,74,10.5.1.30,45350,198.185.159.176,80,TCP,0,0,1532715319,0
2024-11-04 18:38:02.740579,74,198.185.159.176,80,10.5.1.30,45350,TCP,0,1,2131591194,1532715319
2024-11-04 18:38:02.740933,66,10.5.1.30,45350,198.185.159.176,80,TCP,1,1,1532715459,2131591194
2024-11-04 18:38:02.741075,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091701909,3448977164
2024-11-04 18:38:02.747247,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3448977311,4091701909
2024-11-04 18:38:02.747852,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091701916,3448977311
2024-11-04 18:38:02.748167,145,10.5.1.30,45350,198.185.159.176,80,TCP,1,1,1532715466,2131591194
2024-11-04 18:38:02.822201,66,198.185.159.176,80,10.5.1.30,45350,TCP,1,80,2131591336,1532715466
2024-11-04 18:38:02.910571,256,198.185.159.176,80,10.5.1.30,45350,TCP,1,80,2131591416,1532715466
2024-11-04 18:38:02.910881,66,10.5.1.30,45350,198.185.159.176,80,TCP,80,191,1532715629,2131591416
2024-11-04 18:38:02.911148,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091702079,3448977311
