Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:11:50.523939,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3133633758,3960675762
2024-11-04 12:11:50.524159,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960686133,3133633758
2024-11-04 12:11:50.524349,74,10.5.1.30,54560,104.18.43.226,80,TCP,0,0,3074063114,0
2024-11-04 12:11:50.548108,74,104.18.43.226,80,10.5.1.30,54560,TCP,0,1,1924151434,3074063114
2024-11-04 12:11:50.548354,66,10.5.1.30,54560,104.18.43.226,80,TCP,1,1,3074063138,1924151434
2024-11-04 12:11:50.548476,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960686157,3133633758
2024-11-04 12:11:50.550811,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3133633785,3960686157
2024-11-04 12:11:50.551085,147,10.5.1.30,54560,104.18.43.226,80,TCP,1,1,3074063141,1924151434
2024-11-04 12:11:50.575600,66,104.18.43.226,80,10.5.1.30,54560,TCP,1,82,1924151462,3074063141
2024-11-04 12:11:50.594072,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3960686203,3133633785
2024-11-04 12:11:50.623509,955,104.18.43.226,80,10.5.1.30,54560,TCP,1,82,1924151509,3074063141
2024-11-04 12:11:50.624096,66,10.5.1.30,54560,104.18.43.226,80,TCP,82,890,3074063214,1924151509
