Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:47:51.848653,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1840853537,3517699575
2024-11-04 17:47:51.848863,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517704345,1840853537
2024-11-04 17:47:51.849121,74,10.5.1.30,44380,212.129.158.120,80,TCP,0,0,589287090,0
2024-11-04 17:47:52.041857,74,212.129.158.120,80,10.5.1.30,44380,TCP,0,1,3566337189,589287090
2024-11-04 17:47:52.042037,66,10.5.1.30,44380,212.129.158.120,80,TCP,1,1,589287283,3566337189
2024-11-04 17:47:52.042166,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517704538,1840853537
2024-11-04 17:47:52.042424,66,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1840853731,3517704538
2024-11-04 17:47:52.046583,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1840853735,3517704538
2024-11-04 17:47:52.046711,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517704542,1840853735
2024-11-04 17:47:52.046831,143,10.5.1.30,44380,212.129.158.120,80,TCP,1,1,589287288,3566337189
2024-11-04 17:47:52.247543,66,212.129.158.120,80,10.5.1.30,44380,TCP,1,78,3566337388,589287288
2024-11-04 17:47:52.267259,1478,212.129.158.120,80,10.5.1.30,44380,TCP,1,78,3566337410,589287288
2024-11-04 17:47:52.267478,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,1413,589287508,3566337410
2024-11-04 17:47:52.267569,1231,212.129.158.120,80,10.5.1.30,44380,TCP,2825,78,3566337410,589287288
2024-11-04 17:47:52.267681,78,10.5.1.30,44380,212.129.158.120,80,TCP,78,1413,589287508,3566337410
2024-11-04 17:47:52.267696,1630,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517704763,1840853735
2024-11-04 17:47:52.268086,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,2101,1840853957,3517704763
2024-11-04 17:47:52.272156,1478,212.129.158.120,80,10.5.1.30,44380,TCP,1413,78,3566337410,589287288
2024-11-04 17:47:52.272298,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,3990,589287513,3566337410
2024-11-04 17:47:52.272406,2890,212.129.158.120,80,10.5.1.30,44380,TCP,3990,78,3566337410,589287288
2024-11-04 17:47:52.272453,3172,10.5.1.30,9001,10.5.1.21,54580,TCP,2101,1073,3517704768,1840853957
2024-11-04 17:47:52.272684,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,6814,589287513,3566337410
2024-11-04 17:47:52.272962,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,5207,1840853962,3517704768
2024-11-04 17:47:52.274663,3172,10.5.1.30,9001,10.5.1.21,54580,TCP,5207,1073,3517704770,1840853962
2024-11-04 17:47:52.275196,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,8313,1840853964,3517704770
2024-11-04 17:47:52.276899,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,8313,1840853966,3517704770
2024-11-04 17:47:52.277121,66,10.5.1.30,9001,10.5.1.21,54580,TCP,8313,1609,3517704773,1840853966
2024-11-04 17:47:52.282133,1478,212.129.158.120,80,10.5.1.30,44380,TCP,6814,78,3566337410,589287288
2024-11-04 17:47:52.282335,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,8226,589287523,3566337410
2024-11-04 17:47:52.282449,2890,212.129.158.120,80,10.5.1.30,44380,TCP,8226,78,3566337410,589287288
2024-11-04 17:47:52.282464,1630,10.5.1.30,9001,10.5.1.21,54580,TCP,8313,1609,3517704778,1840853966
2024-11-04 17:47:52.282711,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,11050,589287523,3566337410
2024-11-04 17:47:52.282726,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,9877,1840853971,3517704778
2024-11-04 17:47:52.282827,2890,212.129.158.120,80,10.5.1.30,44380,TCP,11050,78,3566337410,589287288
2024-11-04 17:47:52.283011,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,13874,589287524,3566337410
2024-11-04 17:47:52.283121,4136,10.5.1.30,9001,10.5.1.21,54580,TCP,9877,1609,3517704779,1840853971
2024-11-04 17:47:52.283414,1514,10.5.1.30,9001,10.5.1.21,54580,TCP,13947,1609,3517704779,1840853971
2024-11-04 17:47:52.283446,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,13947,1840853972,3517704779
2024-11-04 17:47:52.283628,760,10.5.1.30,9001,10.5.1.21,54580,TCP,15395,1609,3517704779,1840853972
2024-11-04 17:47:52.283888,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,16089,1840853973,3517704779
2024-11-04 17:47:52.462244,1478,212.129.158.120,80,10.5.1.30,44380,TCP,13874,78,3566337606,589287508
2024-11-04 17:47:52.462495,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,15286,589287703,3566337606
2024-11-04 17:47:52.462620,2890,212.129.158.120,80,10.5.1.30,44380,TCP,15286,78,3566337606,589287508
2024-11-04 17:47:52.462744,1630,10.5.1.30,9001,10.5.1.21,54580,TCP,16089,1609,3517704958,1840853973
2024-11-04 17:47:52.462778,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,18110,589287703,3566337606
2024-11-04 17:47:52.463249,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,17653,1840854152,3517704958
2024-11-04 17:47:52.466510,3172,10.5.1.30,9001,10.5.1.21,54580,TCP,17653,1609,3517704962,1840854152
2024-11-04 17:47:52.466923,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,20759,1840854156,3517704962
2024-11-04 17:47:52.469738,1478,212.129.158.120,80,10.5.1.30,44380,TCP,18110,78,3566337613,589287513
2024-11-04 17:47:52.469918,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,19522,589287711,3566337613
2024-11-04 17:47:52.470024,2890,212.129.158.120,80,10.5.1.30,44380,TCP,19522,78,3566337613,589287513
2024-11-04 17:47:52.470067,1630,10.5.1.30,9001,10.5.1.21,54580,TCP,20759,1609,3517704966,1840854156
2024-11-04 17:47:52.470161,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,22346,589287711,3566337613
2024-11-04 17:47:52.470275,2890,212.129.158.120,80,10.5.1.30,44380,TCP,22346,78,3566337613,589287513
2024-11-04 17:47:52.470405,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,22323,1840854159,3517704966
2024-11-04 17:47:52.470421,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,25170,589287711,3566337613
2024-11-04 17:47:52.473786,4136,10.5.1.30,9001,10.5.1.21,54580,TCP,22323,1609,3517704969,1840854159
2024-11-04 17:47:52.474043,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,22323,1840854163,3517704966
2024-11-04 17:47:52.474211,1514,10.5.1.30,9001,10.5.1.21,54580,TCP,26393,1609,3517704970,1840854159
2024-11-04 17:47:52.474293,66,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,26393,1840854163,3517704969
2024-11-04 17:47:52.474461,760,10.5.1.30,9001,10.5.1.21,54580,TCP,27841,2145,3517704970,1840854163
2024-11-04 17:47:52.474665,66,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,28535,1840854163,3517704970
2024-11-04 17:47:52.477239,1478,212.129.158.120,80,10.5.1.30,44380,TCP,25170,78,3566337623,589287523
2024-11-04 17:47:52.477391,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,26582,589287718,3566337623
2024-11-04 17:47:52.477494,1478,212.129.158.120,80,10.5.1.30,44380,TCP,26582,78,3566337623,589287523
2024-11-04 17:47:52.477579,1630,10.5.1.30,9001,10.5.1.21,54580,TCP,28535,2145,3517704973,1840854163
2024-11-04 17:47:52.477612,66,10.5.1.30,44380,212.129.158.120,80,TCP,78,27994,589287718,3566337623
2024-11-04 17:47:52.478043,66,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,30099,1840854167,3517704973
2024-11-04 17:47:52.480224,1630,10.5.1.30,9001,10.5.1.21,54580,TCP,30099,2145,3517704976,1840854167
2024-11-04 17:47:52.480524,66,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,31663,1840854169,3517704976
2024-11-04 17:47:52.484708,1478,212.129.158.120,80,10.5.1.30,44380,TCP,29406,78,3566337623,589287524
2024-11-04 17:47:52.484904,78,10.5.1.30,44380,212.129.158.120,80,TCP,78,27994,589287726,3566337623
2024-11-04 17:47:52.484991,1478,212.129.158.120,80,10.5.1.30,44380,TCP,27994,78,3566337623,589287524
