Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:21:22.034623,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132703705,3024609039
2024-11-04 17:21:22.034657,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024619941,132703705
2024-11-04 17:21:22.034765,74,10.5.1.30,59484,39.101.199.113,80,TCP,0,0,1052110305,0
2024-11-04 17:21:22.236771,74,39.101.199.113,80,10.5.1.30,59484,TCP,0,1,1503755893,1052110305
2024-11-04 17:21:22.236825,66,10.5.1.30,59484,39.101.199.113,80,TCP,1,1,1052110508,1503755893
2024-11-04 17:21:22.236934,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024620144,132703705
2024-11-04 17:21:22.237004,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132703908,3024620144
2024-11-04 17:21:22.240685,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132703911,3024620144
2024-11-04 17:21:22.240704,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024620147,132703911
2024-11-04 17:21:22.240741,144,10.5.1.30,59484,39.101.199.113,80,TCP,1,1,1052110511,1503755893
2024-11-04 17:21:22.439459,66,39.101.199.113,80,10.5.1.30,59484,TCP,1,79,1503756099,1052110511
2024-11-04 17:21:22.439534,468,39.101.199.113,80,10.5.1.30,59484,TCP,1,79,1503756099,1052110511
2024-11-04 17:21:22.439555,66,10.5.1.30,59484,39.101.199.113,80,TCP,79,403,1052110710,1503756099
2024-11-04 17:21:22.439703,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024620346,132703911
2024-11-04 17:21:22.444293,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,132704115,3024620346
2024-11-04 17:21:22.444340,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3024620351,132704115
2024-11-04 17:21:22.444450,66,10.5.1.30,59484,39.101.199.113,80,TCP,79,403,1052110715,1503756099
2024-11-04 17:21:22.642788,66,39.101.199.113,80,10.5.1.30,59484,TCP,403,80,1503756300,1052110715
2024-11-04 17:21:22.642836,66,10.5.1.30,59484,39.101.199.113,80,TCP,80,404,1052110914,1503756300
2024-11-04 17:21:24.959227,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,172953372,2851546403
2024-11-04 17:21:24.963552,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3444379527,4087009949
2024-11-04 17:21:24.967656,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,132706638,3024620351
2024-11-04 17:21:24.967714,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3024622874,132706638
2024-11-04 17:21:24.999749,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2851651632,172953372
2024-11-04 17:21:24.999840,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,172953413,2851651632
2024-11-04 17:21:24.999864,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1587,2851651633,172953413
2024-11-04 17:21:25.000773,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1587,2851651633,172953413
2024-11-04 17:21:25.000873,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1587,1051,172953414,2851651633
2024-11-04 17:21:25.003839,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,1587,1051,172953417,2851651633
2024-11-04 17:21:25.004033,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,1051,2637,2851651637,172953417
2024-11-04 17:21:25.006414,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4087104174,3444379527
2024-11-04 17:21:25.006481,1116,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3444379570,4087104174
2024-11-04 17:21:25.006521,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1587,4087104174,3444379570
2024-11-04 17:21:25.006872,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1587,4087104175,3444379570
2024-11-04 17:21:25.006950,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1587,537,3444379571,4087104175
2024-11-04 17:21:25.010728,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1587,537,3444379574,4087104175
2024-11-04 17:21:25.011617,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,2123,4087104179,3444379574
