Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:28:34.644975,74,23.32.220.218,80,10.5.1.30,45856,TCP,0,1,1048185496,724440762
2024-11-04 18:28:34.645236,66,10.5.1.30,45856,23.32.220.218,80,TCP,1,1,724440805,1048185496
2024-11-04 18:28:34.645381,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1,2855681278,176983015
2024-11-04 18:28:34.650460,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,537,176983063,2855681278
2024-11-04 18:28:34.650708,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,537,2855681283,176983063
2024-11-04 18:28:34.650882,139,10.5.1.30,45856,23.32.220.218,80,TCP,1,1,724440811,1048185496
2024-11-04 18:28:34.695295,66,23.32.220.218,80,10.5.1.30,45856,TCP,1,74,1048185543,724440811
2024-11-04 18:28:34.695604,339,23.32.220.218,80,10.5.1.30,45856,TCP,1,74,1048185544,724440811
2024-11-04 18:28:34.695757,66,10.5.1.30,45856,23.32.220.218,80,TCP,74,274,724440855,1048185544
2024-11-04 18:28:34.695961,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,537,2855681329,176983063
2024-11-04 18:28:34.699818,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1073,176983113,2855681329
2024-11-04 18:28:34.700171,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1073,2855681333,176983113
2024-11-04 18:28:34.700424,66,10.5.1.30,45856,23.32.220.218,80,TCP,74,274,724440860,1048185544
2024-11-04 18:28:34.744840,66,23.32.220.218,80,10.5.1.30,45856,TCP,274,75,1048185596,724440860
2024-11-04 18:28:34.745125,66,10.5.1.30,45856,23.32.220.218,80,TCP,75,275,724440905,1048185596
2024-11-04 18:28:35.545098,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1843297234,3520146812
2024-11-04 18:28:35.545098,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,136737216,3028652163
2024-11-04 18:28:35.545491,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3028653452,136737216
2024-11-04 18:28:35.545491,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3520148041,1843297234
2024-11-04 18:28:35.553116,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2222644544,3153704580
2024-11-04 18:28:35.553137,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3448410117,4091133384
2024-11-04 18:28:35.553220,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1843297242,3520148041
2024-11-04 18:28:35.553634,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3520148049,1843297242
2024-11-04 18:28:35.553634,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1051,3153705921,2222644544
2024-11-04 18:28:35.553635,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091134721,3448410117
2024-11-04 18:28:35.554208,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091134722,3448410117
2024-11-04 18:28:35.554440,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3520148050,1843297242
2024-11-04 18:28:35.554631,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1051,3153705922,2222644544
2024-11-04 18:28:35.560072,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,537,1843297249,3520148050
2024-11-04 18:28:35.560275,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3448410124,4091134722
2024-11-04 18:28:35.560732,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091134728,3448410124
2024-11-04 18:28:35.562957,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,1051,1051,2222644554,3153705922
2024-11-04 18:28:35.563117,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1609,3520148059,1843297249
2024-11-04 18:28:35.566546,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,1051,2101,3153705934,2222644554
2024-11-04 18:28:35.566763,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1073,1843297255,3520148059
2024-11-04 18:28:35.570197,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2145,3520148066,1843297255
2024-11-04 18:28:35.570380,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3448410134,4091134728
2024-11-04 18:28:35.573383,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1609,1843297262,3520148066
2024-11-04 18:28:35.573598,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,2681,3520148069,1843297262
2024-11-04 18:28:35.573729,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,2101,2101,2222644564,3153705934
2024-11-04 18:28:35.579948,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,2145,1843297269,3520148069
2024-11-04 18:28:35.593855,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,136737265,3028653452
