Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:49:36.603635,74,172.66.0.227,80,10.5.1.30,39542,TCP,0,1,4043179405,1429972623
2024-11-04 11:49:36.603703,66,10.5.1.30,39542,172.66.0.227,80,TCP,1,1,1429972650,4043179405
2024-11-04 11:49:36.603839,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1,2474734691,359560122
2024-11-04 11:49:36.607750,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,537,359560153,2474734691
2024-11-04 11:49:36.607828,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,537,2474734695,359560153
2024-11-04 11:49:36.607875,134,10.5.1.30,39542,172.66.0.227,80,TCP,1,1,1429972654,4043179405
2024-11-04 11:49:36.633570,66,172.66.0.227,80,10.5.1.30,39542,TCP,1,69,4043179435,1429972654
2024-11-04 11:49:36.650929,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,1073,359560196,2474734695
2024-11-04 11:49:36.786277,733,172.66.0.227,80,10.5.1.30,39542,TCP,1,69,4043179585,1429972654
2024-11-04 11:49:36.786336,66,10.5.1.30,39542,172.66.0.227,80,TCP,69,668,1429972832,4043179585
