Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:00:54.859313,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453949423,4096663619
2024-11-04 20:00:54.860016,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096674028,3453949423
2024-11-04 20:00:54.860349,74,10.5.1.30,56596,135.84.35.166,80,TCP,0,0,4002326248,0
2024-11-04 20:00:55.040564,66,135.84.35.166,80,10.5.1.30,56596,TCP,0,1,,
2024-11-04 20:00:55.041710,54,10.5.1.30,56596,135.84.35.166,80,TCP,1,1,,
2024-11-04 20:00:55.041872,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096674210,3453949423
2024-11-04 20:00:55.046070,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453949610,4096674210
2024-11-04 20:00:55.046836,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096674215,3453949610
2024-11-04 20:00:55.047423,128,10.5.1.30,56596,135.84.35.166,80,TCP,1,1,,
2024-11-04 20:00:55.235657,435,135.84.35.166,80,10.5.1.30,56596,TCP,1,75,,
2024-11-04 20:00:55.236910,54,10.5.1.30,56596,135.84.35.166,80,TCP,75,382,,
2024-11-04 20:00:55.237599,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096674405,3453949610
2024-11-04 20:00:55.242188,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3453949806,4096674405
2024-11-04 20:00:55.242810,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4096674411,3453949806
2024-11-04 20:00:55.243225,54,10.5.1.30,56596,135.84.35.166,80,TCP,75,382,,
2024-11-04 20:00:55.428042,54,135.84.35.166,80,10.5.1.30,56596,TCP,382,76,,
2024-11-04 20:00:55.429366,54,10.5.1.30,56596,135.84.35.166,80,TCP,76,383,,
