Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:20:09.493308,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134132727,3961174765
2024-11-04 12:20:09.493505,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961185102,3134132727
2024-11-04 12:20:09.493678,74,10.5.1.30,49588,151.101.2.187,80,TCP,0,0,1708515339,0
2024-11-04 12:20:09.519403,74,151.101.2.187,80,10.5.1.30,49588,TCP,0,1,2952506775,1708515339
2024-11-04 12:20:09.519625,66,10.5.1.30,49588,151.101.2.187,80,TCP,1,1,1708515365,2952506775
2024-11-04 12:20:09.519739,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961185129,3134132727
2024-11-04 12:20:09.525082,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134132759,3961185129
2024-11-04 12:20:09.525333,140,10.5.1.30,49588,151.101.2.187,80,TCP,1,1,1708515370,2952506775
2024-11-04 12:20:09.556343,66,151.101.2.187,80,10.5.1.30,49588,TCP,1,75,2952506813,1708515370
2024-11-04 12:20:09.556591,379,151.101.2.187,80,10.5.1.30,49588,TCP,1,75,2952506813,1708515370
2024-11-04 12:20:09.556728,66,10.5.1.30,49588,151.101.2.187,80,TCP,75,314,1708515402,2952506813
2024-11-04 12:20:09.556825,66,151.101.2.187,80,10.5.1.30,49588,TCP,314,75,2952506813,1708515370
2024-11-04 12:20:09.556907,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961185166,3134132759
2024-11-04 12:20:09.557099,66,10.5.1.30,49588,151.101.2.187,80,TCP,75,315,1708515402,2952506813
2024-11-04 12:20:09.561855,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1073,3134132796,3961185166
2024-11-04 12:20:09.562239,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,1609,3961185171,3134132796
2024-11-04 12:20:09.581361,66,151.101.2.187,80,10.5.1.30,49588,TCP,315,76,2952506838,1708515402
2024-11-04 12:20:09.604078,66,10.5.1.11,34324,10.5.1.30,9001,TCP,1609,1609,3134132838,3961185171
2024-11-04 12:20:16.511417,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1185032644,1185545211
2024-11-04 12:20:16.511465,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4286715461,585832653
2024-11-04 12:20:16.511772,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,585860701,4286715461
2024-11-04 12:20:16.511772,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1185573096,1185032644
