Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:31:12.373334,74,199.232.194.114,80,10.5.1.30,57984,TCP,0,1,1564410761,3905534144
2024-11-04 19:31:12.373813,66,10.5.1.30,57984,199.232.194.114,80,TCP,1,1,3905534169,1564410761
2024-11-04 19:31:12.373888,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3032410281,140494019
2024-11-04 19:31:12.374288,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1,537,140494045,3032410281
2024-11-04 19:31:12.379303,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,537,140494050,3032410281
2024-11-04 19:31:12.379737,143,10.5.1.30,57984,199.232.194.114,80,TCP,1,1,3905534174,1564410761
2024-11-04 19:31:12.408234,66,199.232.194.114,80,10.5.1.30,57984,TCP,1,78,1564410796,3905534174
2024-11-04 19:31:12.422297,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3032410329,140494050
2024-11-04 19:31:12.433409,630,199.232.194.114,80,10.5.1.30,57984,TCP,1,78,1564410796,3905534174
2024-11-04 19:31:12.433879,66,10.5.1.30,57984,199.232.194.114,80,TCP,78,565,3905534229,1564410796
2024-11-04 19:31:12.434241,66,199.232.194.114,80,10.5.1.30,57984,TCP,565,78,1564410796,3905534174
2024-11-04 19:31:12.434276,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3032410341,140494050
2024-11-04 19:31:12.434698,66,10.5.1.30,57984,199.232.194.114,80,TCP,78,566,3905534229,1564410796
