Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:25:25.615672,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134448850,3961490870
2024-11-04 12:25:25.615936,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961501225,3134448850
2024-11-04 12:25:25.616123,74,10.5.1.30,48640,172.67.204.9,80,TCP,0,0,3759359846,0
2024-11-04 12:25:25.647496,74,172.67.204.9,80,10.5.1.30,48640,TCP,0,1,2042894888,3759359846
2024-11-04 12:25:25.647853,66,10.5.1.30,48640,172.67.204.9,80,TCP,1,1,3759359878,2042894888
2024-11-04 12:25:25.647936,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961501257,3134448850
2024-11-04 12:25:25.651604,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134448886,3961501257
2024-11-04 12:25:25.651885,145,10.5.1.30,48640,172.67.204.9,80,TCP,1,1,3759359882,2042894888
2024-11-04 12:25:25.682397,66,172.67.204.9,80,10.5.1.30,48640,TCP,1,80,2042894923,3759359882
2024-11-04 12:25:25.693978,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961501303,3134448886
2024-11-04 12:25:26.204069,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1,1,1996973685,3729735194
2024-11-04 12:25:26.204375,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3729762581,1996973685
2024-11-04 12:25:26.204572,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,361709750,2476856832
2024-11-04 12:25:26.204612,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005382807,2444942169
2024-11-04 12:25:26.204712,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2476884292,361709750
2024-11-04 12:25:26.204911,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2444969563,3005382807
2024-11-04 12:25:26.214910,1116,10.5.1.12,57406,10.5.1.30,9001,TCP,537,1,3005382817,2444969563
2024-11-04 12:25:26.215065,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,1587,2444969573,3005382817
