Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:44:40.954510,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1840662643,3517503132
2024-11-04 17:44:40.954740,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517513450,1840662643
2024-11-04 17:44:40.954927,74,10.5.1.30,60442,151.101.65.91,80,TCP,0,0,2852050525,0
2024-11-04 17:44:40.981557,74,151.101.65.91,80,10.5.1.30,60442,TCP,0,1,1476972677,2852050525
2024-11-04 17:44:40.981777,66,10.5.1.30,60442,151.101.65.91,80,TCP,1,1,2852050551,1476972677
2024-11-04 17:44:40.981895,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517513478,1840662643
2024-11-04 17:44:40.983863,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1840662673,3517513478
2024-11-04 17:44:40.984014,142,10.5.1.30,60442,151.101.65.91,80,TCP,1,1,2852050554,1476972677
2024-11-04 17:44:41.011303,66,151.101.65.91,80,10.5.1.30,60442,TCP,1,77,1476972707,2852050554
2024-11-04 17:44:41.016442,777,151.101.65.91,80,10.5.1.30,60442,TCP,1,77,1476972707,2852050554
2024-11-04 17:44:41.016624,66,10.5.1.30,60442,151.101.65.91,80,TCP,77,712,2852050586,1476972707
2024-11-04 17:44:41.016698,66,151.101.65.91,80,10.5.1.30,60442,TCP,712,77,1476972707,2852050554
