Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:56:30.823903,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,359974369,2475130606
2024-11-04 11:56:30.824765,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475148912,359974369
2024-11-04 11:56:30.825030,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359974370,2475148912
2024-11-04 11:56:31.526660,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359975072,2475148912
2024-11-04 11:56:31.535348,602,10.5.1.23,43528,10.5.1.30,9001,TCP,1,1,1082345957,2553885869
2024-11-04 11:56:31.535593,66,10.5.1.30,9001,10.5.1.23,43528,TCP,1,537,2553916232,1082345957
2024-11-04 11:56:31.536353,602,10.5.1.30,9001,10.5.1.23,43528,TCP,1,537,2553916232,1082345957
2024-11-04 11:56:31.536571,66,10.5.1.23,43528,10.5.1.30,9001,TCP,537,537,1082345959,2553916232
2024-11-04 11:56:31.567500,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475149654,359975072
2024-11-04 11:56:31.732748,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,537,359975278,2475149654
2024-11-04 11:56:31.732887,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1609,2475149820,359975278
2024-11-04 11:56:32.163711,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3132715398,3959737741
2024-11-04 11:56:32.164131,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959767773,3132715398
2024-11-04 11:56:32.165114,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959767774,3132715398
2024-11-04 11:56:32.210854,66,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3132715445,3959767774
2024-11-04 11:56:32.210963,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,537,537,3959767820,3132715445
2024-11-04 11:56:32.211044,66,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1587,3132715445,3959767820
2024-11-04 11:56:32.211458,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1587,3132715445,3959767820
2024-11-04 11:56:32.211894,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1587,1073,3959767821,3132715445
2024-11-04 11:56:32.217785,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,2123,3132715452,3959767821
2024-11-04 11:56:32.218281,602,10.5.1.30,9001,10.5.1.11,34324,TCP,2123,1609,3959767827,3132715452
2024-11-04 11:56:32.224515,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1609,2659,3132715458,3959767827
2024-11-04 11:56:32.267513,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2659,2145,3959767876,3132715458
2024-11-04 11:56:32.530089,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3003649132,2443222298
2024-11-04 11:56:32.530145,602,10.5.1.11,34324,10.5.1.30,9001,TCP,2145,2659,3132715764,3959767876
2024-11-04 11:56:32.530203,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443235888,3003649132
2024-11-04 11:56:32.530285,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2659,2681,3959768139,3132715764
2024-11-04 11:56:32.538123,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,1,3003649140,2443235888
2024-11-04 11:56:32.538214,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,1073,2443235896,3003649140
2024-11-04 11:56:32.538524,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,1073,2443235897,3003649140
2024-11-04 11:56:32.580857,66,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,537,3003649183,2443235897
2024-11-04 11:56:33.680954,602,10.5.1.11,34324,10.5.1.30,9001,TCP,2681,2659,3132716915,3959768139
2024-11-04 11:56:33.681060,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,537,359977226,2475149820
2024-11-04 11:56:33.681107,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,537,3003650283,2443235897
2024-11-04 11:56:33.681138,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2659,3217,3959769290,3132716915
2024-11-04 11:56:33.681170,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4285292631,584405327
2024-11-04 11:56:33.681171,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1183609814,1184128100
2024-11-04 11:56:33.681207,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,2145,2475151768,359977226
2024-11-04 11:56:33.681270,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,584437870,4285292631
2024-11-04 11:56:33.685551,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1,1,1995241167,3727997121
2024-11-04 11:56:33.685713,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3728030063,1995241167
2024-11-04 11:56:33.686090,602,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3728030063,1995241167
2024-11-04 11:56:33.686173,66,10.5.1.20,43840,10.5.1.30,9001,TCP,537,537,1995241167,3728030063
2024-11-04 11:56:33.691954,602,10.5.1.20,43840,10.5.1.30,9001,TCP,537,537,1995241173,3728030063
2024-11-04 11:56:33.692392,602,10.5.1.30,9001,10.5.1.20,43840,TCP,537,1073,3728030069,1995241173
2024-11-04 11:56:33.697878,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1073,1073,1995241179,3728030069
2024-11-04 11:56:33.702165,602,10.5.1.21,39736,10.5.1.30,9001,TCP,537,1,4285292652,584437870
2024-11-04 11:56:33.702328,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1073,584437891,4285292652
2024-11-04 11:56:33.702696,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1073,584437892,4285292652
2024-11-04 11:56:33.708793,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1073,537,4285292659,584437892
2024-11-04 11:56:33.709351,602,10.5.1.30,9001,10.5.1.21,39736,TCP,537,1609,584437898,4285292659
2024-11-04 11:56:33.714513,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1609,1073,4285292664,584437898
2024-11-04 11:56:33.714769,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1073,2145,584437904,4285292664
2024-11-04 11:56:33.721662,602,10.5.1.21,39736,10.5.1.30,9001,TCP,2145,1609,4285292672,584437904
2024-11-04 11:56:33.721913,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1609,2681,584437911,4285292672
2024-11-04 11:56:33.727485,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1609,2443237085,3003650283
2024-11-04 11:56:33.727485,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1184150311,1183609814
2024-11-04 11:56:33.727607,1138,10.5.1.22,52376,10.5.1.30,9001,TCP,537,1,1183609861,1184150311
2024-11-04 11:56:33.727676,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,1609,1184150312,1183609861
2024-11-04 11:56:33.727762,602,10.5.1.21,39736,10.5.1.30,9001,TCP,2681,2145,4285292678,584437911
2024-11-04 11:56:33.728079,1116,10.5.1.30,9001,10.5.1.22,52376,TCP,1,1609,1184150312,1183609861
2024-11-04 11:56:33.728198,66,10.5.1.22,52376,10.5.1.30,9001,TCP,1609,1051,1183609861,1184150312
2024-11-04 11:56:33.735265,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1609,1051,1183609868,1184150312
2024-11-04 11:56:33.735465,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1051,2145,1184150319,1183609868
2024-11-04 11:56:33.740819,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1073,1609,3728030118,1995241179
2024-11-04 11:56:33.741114,602,10.5.1.22,52376,10.5.1.30,9001,TCP,2145,1587,1183609874,1184150319
2024-11-04 11:56:33.770869,66,10.5.1.30,9001,10.5.1.21,39736,TCP,2145,3217,584437960,4285292678
2024-11-04 11:56:33.771113,602,10.5.1.21,39736,10.5.1.30,9001,TCP,3217,2145,4285292721,584437960
2024-11-04 11:56:33.771260,66,10.5.1.30,9001,10.5.1.21,39736,TCP,2145,3753,584437960,4285292721
2024-11-04 11:56:33.771354,602,10.5.1.21,39736,10.5.1.30,9001,TCP,3753,2145,4285292721,584437960
2024-11-04 11:56:33.771479,66,10.5.1.30,9001,10.5.1.21,39736,TCP,2145,4289,584437960,4285292721
2024-11-04 11:56:33.771837,602,10.5.1.30,9001,10.5.1.21,39736,TCP,2145,4289,584437961,4285292721
2024-11-04 11:56:33.778744,602,10.5.1.21,39736,10.5.1.30,9001,TCP,4289,2681,4285292729,584437961
2024-11-04 11:56:33.778966,602,10.5.1.30,9001,10.5.1.21,39736,TCP,2681,4825,584437968,4285292729
2024-11-04 11:56:33.784187,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1587,2681,1184150368,1183609874
2024-11-04 11:56:33.784394,602,10.5.1.22,52376,10.5.1.30,9001,TCP,2681,1587,1183609917,1184150368
2024-11-04 11:56:33.784488,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1587,3217,1184150368,1183609917
2024-11-04 11:56:33.784792,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1587,3217,1184150369,1183609917
2024-11-04 11:56:33.785304,602,10.5.1.21,39736,10.5.1.30,9001,TCP,4825,3217,4285292735,584437968
2024-11-04 11:56:33.788585,602,10.5.1.22,52376,10.5.1.30,9001,TCP,3217,2123,1183609922,1184150369
2024-11-04 11:56:33.827501,66,10.5.1.30,9001,10.5.1.21,39736,TCP,3217,5361,584438016,4285292735
2024-11-04 11:56:33.830834,66,10.5.1.30,9001,10.5.1.22,52376,TCP,2123,3753,1184150415,1183609922
2024-11-04 11:56:41.835134,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,537,359985380,2475151768
2024-11-04 11:56:41.835253,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,2681,2475159922,359985380
