Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:50:08.322363,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,359591867,2474759249
2024-11-04 11:50:08.322535,74,10.5.1.30,41436,59.82.133.133,80,TCP,0,0,3960111660,0
2024-11-04 11:50:08.364199,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474766451,359591867
2024-11-04 11:50:08.519163,66,59.82.133.133,80,10.5.1.30,41436,TCP,0,1,,
2024-11-04 11:50:08.519243,54,10.5.1.30,41436,59.82.133.133,80,TCP,1,1,,
2024-11-04 11:50:08.519372,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474766606,359591867
2024-11-04 11:50:08.519480,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359592064,2474766606
2024-11-04 11:50:08.521308,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359592066,2474766606
2024-11-04 11:50:08.521350,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474766608,359592066
2024-11-04 11:50:08.521407,127,10.5.1.30,41436,59.82.133.133,80,TCP,1,1,,
2024-11-04 11:50:08.721506,54,59.82.133.133,80,10.5.1.30,41436,TCP,1,74,,
2024-11-04 11:50:08.721580,337,59.82.133.133,80,10.5.1.30,41436,TCP,1,74,,
2024-11-04 11:50:08.721611,54,10.5.1.30,41436,59.82.133.133,80,TCP,74,284,,
2024-11-04 11:50:08.721720,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474766809,359592066
2024-11-04 11:50:08.724133,324,59.82.133.133,80,10.5.1.30,41436,TCP,284,74,,
2024-11-04 11:50:08.724169,54,10.5.1.30,41436,59.82.133.133,80,TCP,74,554,,
2024-11-04 11:50:08.764233,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,359592309,2474766809
2024-11-04 11:50:08.764296,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,1073,2474766851,359592309
2024-11-04 11:50:08.764337,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1609,359592309,2474766851
2024-11-04 11:50:08.771892,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1609,359592317,2474766851
2024-11-04 11:50:08.771988,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1609,1609,2474766859,359592317
2024-11-04 11:50:08.772073,54,10.5.1.30,41436,59.82.133.133,80,TCP,74,554,,
2024-11-04 11:50:08.892454,74,10.5.1.30,46342,10.5.1.11,80,TCP,0,0,3959384501,0
2024-11-04 11:50:08.892608,74,10.5.1.11,80,10.5.1.30,46342,TCP,0,1,3132332127,3959384501
2024-11-04 11:50:08.892653,66,10.5.1.30,46342,10.5.1.11,80,TCP,1,1,3959384502,3132332127
2024-11-04 11:50:08.892813,361,10.5.1.30,46342,10.5.1.11,80,TCP,1,1,3959384502,3132332127
2024-11-04 11:50:08.892885,66,10.5.1.11,80,10.5.1.30,46342,TCP,1,296,3132332127,3959384502
2024-11-04 11:50:08.892944,132,10.5.1.11,80,10.5.1.30,46342,TCP,1,296,3132332127,3959384502
2024-11-04 11:50:08.893000,66,10.5.1.30,46342,10.5.1.11,80,TCP,296,67,3959384502,3132332127
2024-11-04 11:50:08.893047,66,10.5.1.11,80,10.5.1.30,46342,TCP,67,296,3132332127,3959384502
2024-11-04 11:50:08.893141,66,10.5.1.30,46342,10.5.1.11,80,TCP,296,68,3959384502,3132332127
2024-11-04 11:50:08.893220,66,10.5.1.11,80,10.5.1.30,46342,TCP,68,297,3132332127,3959384502
2024-11-04 11:50:08.968965,54,59.82.133.133,80,10.5.1.30,41436,TCP,554,75,,
2024-11-04 11:50:08.969038,54,10.5.1.30,41436,59.82.133.133,80,TCP,75,555,,
2024-11-04 11:50:11.209593,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3132334444,3959365580
2024-11-04 11:50:11.209670,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959386819,3132334444
