Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:22:46.633254,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132788304,3024704537
2024-11-04 17:22:46.633965,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024704541,132788304
2024-11-04 17:22:46.640999,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132788312,3024704541
2024-11-04 17:22:46.686407,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024704593,132788312
2024-11-04 17:22:46.701785,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,537,132788372,3024704593
2024-11-04 17:22:46.701837,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1609,3024704609,132788372
2024-11-04 17:22:46.701940,74,10.5.1.30,40950,18.65.64.95,80,TCP,0,0,404607752,0
2024-11-04 17:22:46.723282,74,18.65.64.95,80,10.5.1.30,40950,TCP,0,1,3478856807,404607752
2024-11-04 17:22:46.723346,66,10.5.1.30,40950,18.65.64.95,80,TCP,1,1,404607773,3478856807
2024-11-04 17:22:46.723489,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1609,3024704630,132788372
2024-11-04 17:22:46.727323,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,132788398,3024704630
2024-11-04 17:22:46.727386,140,10.5.1.30,40950,18.65.64.95,80,TCP,1,1,404607777,3478856807
2024-11-04 17:22:46.747821,66,18.65.64.95,80,10.5.1.30,40950,TCP,1,75,3478856832,404607777
2024-11-04 17:22:46.747903,626,18.65.64.95,80,10.5.1.30,40950,TCP,1,75,3478856833,404607777
2024-11-04 17:22:46.747930,66,10.5.1.30,40950,18.65.64.95,80,TCP,75,561,404607798,3478856833
2024-11-04 17:22:46.747978,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3024704655,132788398
2024-11-04 17:22:46.750889,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,2123,132788422,3024704655
2024-11-04 17:22:46.751072,66,10.5.1.30,40950,18.65.64.95,80,TCP,75,561,404607801,3478856833
2024-11-04 17:22:46.767833,66,18.65.64.95,80,10.5.1.30,40950,TCP,561,76,3478856855,404607801
2024-11-04 17:22:46.767895,66,10.5.1.30,40950,18.65.64.95,80,TCP,76,562,404607818,3478856855
2024-11-04 17:22:46.793068,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2123,2681,3024704700,132788422
2024-11-04 17:22:51.633454,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1839353322,3516149100
