Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:10:05.072003,74,151.101.2.167,80,10.5.1.30,60066,TCP,0,1,478068552,546281823
2024-11-04 12:10:05.072178,66,10.5.1.30,60066,151.101.2.167,80,TCP,1,1,546281848,478068552
2024-11-04 12:10:05.072283,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,1,3960580681,3133528280
2024-11-04 12:10:05.072425,66,10.5.1.11,34324,10.5.1.30,9001,TCP,1,537,3133528306,3960580681
2024-11-04 12:10:05.074561,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,537,3133528309,3960580681
2024-11-04 12:10:05.074684,139,10.5.1.30,60066,151.101.2.167,80,TCP,1,1,546281851,478068552
2024-11-04 12:10:05.099385,66,151.101.2.167,80,10.5.1.30,60066,TCP,1,74,478068579,546281851
2024-11-04 12:10:05.099621,386,151.101.2.167,80,10.5.1.30,60066,TCP,1,74,478068580,546281851
2024-11-04 12:10:05.099720,66,10.5.1.30,60066,151.101.2.167,80,TCP,74,321,546281876,478068580
2024-11-04 12:10:05.099800,66,151.101.2.167,80,10.5.1.30,60066,TCP,321,74,478068580,546281851
2024-11-04 12:10:05.099889,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,537,3960580709,3133528309
2024-11-04 12:10:05.100090,66,10.5.1.30,60066,151.101.2.167,80,TCP,74,322,546281876,478068580
2024-11-04 12:10:05.105035,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1073,3133528339,3960580709
