Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:02:27.896727,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,138769567,3030675383
2024-11-04 19:02:27.897222,74,10.5.1.30,41582,13.226.244.116,80,TCP,0,0,574917607,0
2024-11-04 19:02:27.916275,74,13.226.244.116,80,10.5.1.30,41582,TCP,0,1,315576720,574917607
2024-11-04 19:02:27.916729,66,10.5.1.30,41582,13.226.244.116,80,TCP,1,1,574917626,315576720
2024-11-04 19:02:27.916849,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3030685824,138769567
2024-11-04 19:02:27.917188,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,138769588,3030685824
2024-11-04 19:02:27.922719,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,138769593,3030685824
2024-11-04 19:02:27.923084,138,10.5.1.30,41582,13.226.244.116,80,TCP,1,1,574917633,315576720
2024-11-04 19:02:27.941122,66,13.226.244.116,80,10.5.1.30,41582,TCP,1,73,315576745,574917633
2024-11-04 19:02:27.941524,624,13.226.244.116,80,10.5.1.30,41582,TCP,1,73,315576746,574917633
2024-11-04 19:02:27.941740,66,10.5.1.30,41582,13.226.244.116,80,TCP,73,559,574917651,315576746
