Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:48:11.689542,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844473378,3521313829
2024-11-04 18:48:11.689967,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521324186,1844473378
2024-11-04 18:48:11.690226,74,10.5.1.30,35796,104.16.143.237,80,TCP,0,0,524822435,0
2024-11-04 18:48:11.729704,74,104.16.143.237,80,10.5.1.30,35796,TCP,0,1,124971873,524822435
2024-11-04 18:48:11.730106,66,10.5.1.30,35796,104.16.143.237,80,TCP,1,1,524822475,124971873
2024-11-04 18:48:11.730232,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521324226,1844473378
2024-11-04 18:48:11.733164,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1844473422,3521324226
2024-11-04 18:48:11.733428,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3521324229,1844473422
2024-11-04 18:48:11.733630,139,10.5.1.30,35796,104.16.143.237,80,TCP,1,1,524822478,124971873
2024-11-04 18:48:11.755318,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2223820746,3154882034
2024-11-04 18:48:11.755326,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,137913426,3029802159
2024-11-04 18:48:11.755408,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,178160168,2856858312
2024-11-04 18:48:11.755948,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3029829663,137913426
2024-11-04 18:48:11.755949,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2856858389,178160168
2024-11-04 18:48:11.755954,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3154882124,2223820746
2024-11-04 18:48:11.756699,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2223820747,3154882124
2024-11-04 18:48:11.757078,66,104.16.143.237,80,10.5.1.30,35796,TCP,1,74,124971902,524822478
2024-11-04 18:48:11.757225,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3154882125,2223820747
